Date,Quarter,Time,Year
23-10-2013,Q2,13:15,2013
06-02-2014,Q3,15:27,2014
25-04-2014,Q4,08:39,2014
24-07-2014,Q1,13:35,2014
30-10-2014,Q2,13:11,2014
03-02-2015,Q3,14:19,2015
15-04-2015,Q4,09:43,2015
17-07-2015,Q1,19:02,2015
20-10-2015,Q2,19:14,2015
10-02-2016,Q3,16:45,2016
28-04-2016,Q4,14:23,2016
26-07-2016,Q1,14:05,2016
21-10-2016,Q2,14:35,2016
03-02-2017,Q3,16:23,2017
21-04-2017,Q4,16:15,2017
17-07-2017,Q1,16:23,2017
17-10-2017,Q2,14:31,2017
08-02-2018,Q3,14:32,2018
19-04-2018,Q4,09:23,2018
24-07-2018,Q1,10:38,2018
17-10-2018,Q2,18:04,2018
05-02-2019,Q3,15:28,2019
23-04-2019,Q4,17:39,2019
18-07-2019,Q1,16:42,2019
15-10-2019,Q2,17:32,2019
07-02-2020,Q3,17:35,2020
21-04-2020,Q4,18:01,2020
20-07-2020,Q1,16:53,2020
19-10-2020,Q2,15:51,2020
11-02-2021,Q3,16:12,2021
19-04-2021,Q4,16:15,2021
19-07-2021,Q1,16:42,2021
19-10-2021,Q2,17:01,2021
09-02-2022,Q3,18:27,2022
19-04-2022,Q4,16:41,2022
14-07-2022,Q1,16:20,2022
17-10-2022,Q2,13:51,2022
