Date,Quarter,Time,Year
08-08-2013,Q1,16:48,2013
31-10-2013,Q2,13:43,2013
31-01-2014,Q3,13:19,2014
19-05-2014,Q4,10:11,2014
09-08-2014,Q1,14:55,2014
12-11-2014,Q2,13:27,2014
30-01-2015,Q3,14:39,2015
13-05-2015,Q4,15:23,2015
11-08-2015,Q1,14:03,2015
02-11-2015,Q2,16:50,2015
01-02-2016,Q3,14:04,2016
04-05-2016,Q4,14:48,2016
10-08-2016,Q1,14:25,2016
24-10-2016,Q2,15:56,2016
14-02-2017,Q3,17:14,2017
24-05-2017,Q4,17:12,2017
12-08-2017,Q1,14:14,2017
13-11-2017,Q2,16:37,2017
18-01-2018,Q3,14:23,2018
10-05-2018,Q4,17:38,2018
07-08-2018,Q1,18:00,2018
31-10-2018,Q2,13:38,2018
07-02-2019,Q3,13:45,2019
29-05-2019,Q4,14:20,2019
08-08-2019,Q1,14:49,2019
12-11-2019,Q2,15:47,2019
05-02-2020,Q3,14:29,2020
06-05-2020,Q4,14:04,2020
06-08-2020,Q1,17:31,2020
04-11-2020,Q2,14:04,2020
03-02-2021,Q3,14:36,2021
05-05-2021,Q4,14:01,2021
04-08-2021,Q1,15:35,2021
27-10-2021,Q2,17:47,2021
04-05-2022,Q4,11:35,2022
04-08-2022,Q1,18:29,2022
03-11-2022,Q2,18:19,2022
