Date,Quarter,Time,Year
15-05-2013,Q4,16:00,2013
01-08-2013,Q1,13:33,2013
25-10-2013,Q2,13:35,2013
27-01-2014,Q3,13:39,2014
15-05-2014,Q4,14:11,2014
06-08-2014,Q1,13:27,2014
10-11-2014,Q2,13:03,2014
28-01-2015,Q3,13:11,2015
02-05-2015,Q4,17:59,2015
10-08-2015,Q1,14:02,2015
02-11-2015,Q2,13:49,2015
12-02-2016,Q3,13:57,2016
03-05-2016,Q4,16:03,2016
09-08-2016,Q1,14:32,2016
25-10-2016,Q2,14:36,2016
14-02-2017,Q3,14:03,2017
25-05-2017,Q4,16:29,2017
12-08-2017,Q1,14:28,2017
13-11-2017,Q2,14:39,2017
18-01-2018,Q3,14:05,2018
03-05-2018,Q4,16:33,2018
07-08-2018,Q1,11:19,2018
23-10-2018,Q2,16:07,2018
06-02-2019,Q3,14:32,2019
27-05-2019,Q4,20:49,2019
07-08-2019,Q1,14:42,2019
11-11-2019,Q2,15:40,2019
04-02-2020,Q3,16:56,2020
05-05-2020,Q4,18:01,2020
11-08-2020,Q1,16:06,2020
03-11-2020,Q2,19:30,2020
09-02-2021,Q3,14:39,2021
04-05-2021,Q4,16:15,2021
03-08-2021,Q1,14:26,2021
27-10-2021,Q2,16:39,2021
01-02-2022,Q3,17:14,2022
25-05-2022,Q4,09:55,2022
08-08-2022,Q1,14:29,2022
01-11-2022,Q2,15:37,2022
