Date,Quarter,Time,Year
14-08-2013,Q1,14:38,2013
14-11-2013,Q2,18:11,2013
23-01-2014,Q3,11:55,2014
28-05-2014,Q4,14:15,2014
06-08-2014,Q1,13:11,2014
11-11-2014,Q2,11:31,2014
27-01-2015,Q3,18:07,2015
29-05-2015,Q4,09:15,2015
14-08-2015,Q1,13:43,2015
28-10-2015,Q2,13:12,2015
02-02-2016,Q3,14:18,2016
24-05-2016,Q4,21:17,2016
25-05-2016,Q4,10:55,2016
06-08-2016,Q1,13:53,2016
05-11-2016,Q2,15:14,2016
22-01-2017,Q3,13:44,2017
24-05-2017,Q4,14:25,2017
07-08-2017,Q1,14:20,2017
09-11-2017,Q2,13:48,2017
10-02-2018,Q3,13:32,2018
18-05-2018,Q4,23:55,2018
11-08-2018,Q1,16:56,2018
09-11-2018,Q2,14:32,2018
11-02-2019,Q3,20:04,2019
15-05-2019,Q4,15:20,2019
20-07-2019,Q1,12:13,2019
11-11-2019,Q2,15:05,2019
01-02-2020,Q3,20:29,2020
30-05-2020,Q4,15:58,2020
07-08-2020,Q1,15:46,2020
27-10-2020,Q2,15:35,2020
13-02-2021,Q3,13:59,2021
22-05-2021,Q4,15:25,2021
14-08-2021,Q1,14:13,2021
12-11-2021,Q2,16:22,2021
10-02-2022,Q3,15:25,2022
23-05-2022,Q4,10:05,2022
06-08-2022,Q1,13:18,2022
03-11-2022,Q2,18:19,2022
