Date,Quarter,Time,Year
03-05-2013,Q4,14:48,2013
24-07-2013,Q1,19:17,2013
23-10-2013,Q2,17:19,2013
06-02-2014,Q3,19:07,2014
25-04-2014,Q4,08:43,2014
24-07-2014,Q1,17:15,2014
30-10-2014,Q2,18:11,2014
18-02-2015,Q3,19:43,2015
29-04-2015,Q4,13:07,2015
27-07-2015,Q1,16:41,2015
28-10-2015,Q2,18:52,2015
10-02-2016,Q3,20:12,2016
29-04-2016,Q4,11:06,2016
26-07-2016,Q1,18:00,2016
03-11-2016,Q2,14:45,2016
20-02-2017,Q3,18:02,2017
28-04-2017,Q4,16:33,2017
24-07-2017,Q1,17:12,2017
24-10-2017,Q2,17:56,2017
20-02-2018,Q3,14:57,2018
04-05-2018,Q4,14:50,2018
25-07-2018,Q1,18:08,2018
23-10-2018,Q2,18:37,2018
18-02-2019,Q3,18:20,2019
30-04-2019,Q4,17:23,2019
25-07-2019,Q1,14:58,2019
18-10-2019,Q2,16:58,2019
20-02-2020,Q3,17:56,2020
27-04-2020,Q4,19:13,2020
24-07-2020,Q1,17:27,2020
22-10-2020,Q2,16:50,2020
18-02-2021,Q3,17:26,2021
29-04-2021,Q4,17:09,2021
23-07-2021,Q1,17:51,2021
26-10-2021,Q2,16:49,2021
28-04-2022,Q4,17:28,2022
19-07-2022,Q1,16:36,2022
21-10-2022,Q2,14:03,2022
