Date,Quarter,Time,Year
07-08-2013,Q1,16:51,2013
12-11-2013,Q2,14:55,2013
10-02-2014,Q3,15:03,2014
28-05-2014,Q4,14:39,2014
12-08-2014,Q1,14:39,2014
12-11-2014,Q2,15:39,2014
14-02-2015,Q3,15:03,2015
28-05-2015,Q4,15:15,2015
11-08-2015,Q1,15:14,2015
14-11-2015,Q2,14:59,2015
12-02-2016,Q3,13:17,2016
25-05-2016,Q4,15:07,2016
01-09-2016,Q1,14:11,2016
11-11-2016,Q2,14:36,2016
14-02-2017,Q3,13:35,2017
30-05-2017,Q4,14:40,2017
14-08-2017,Q1,14:39,2017
13-11-2017,Q2,15:10,2017
14-02-2018,Q3,17:36,2018
30-05-2018,Q4,17:00,2018
10-08-2018,Q1,13:35,2018
14-11-2018,Q2,15:37,2018
30-05-2019,Q4,14:55,2019
13-08-2019,Q1,16:54,2019
14-11-2019,Q2,15:00,2019
13-02-2020,Q3,15:33,2020
25-06-2020,Q4,19:51,2020
14-09-2020,Q1,17:45,2020
11-11-2020,Q2,19:15,2020
12-02-2021,Q3,15:12,2021
23-06-2021,Q4,20:50,2021
13-08-2021,Q1,19:08,2021
12-11-2021,Q2,19:50,2021
11-02-2022,Q3,15:22,2022
25-05-2022,Q4,20:05,2022
11-08-2022,Q1,18:35,2022
10-11-2022,Q2,19:38,2022
