Date,Quarter,Time,Year
10-05-2013,Q4,16:30,2013
19-08-2013,Q1,12:41,2013
12-11-2013,Q2,11:07,2013
13-02-2014,Q3,10:15,2014
15-05-2014,Q4,14:03,2014
06-08-2014,Q1,13:31,2014
10-11-2014,Q2,17:59,2014
06-02-2015,Q3,17:11,2015
12-05-2015,Q4,14:43,2015
11-08-2015,Q1,13:45,2015
30-10-2015,Q2,14:02,2015
09-02-2016,Q3,21:54,2016
11-05-2016,Q4,17:08,2016
09-08-2016,Q1,13:42,2016
09-11-2016,Q2,14:48,2016
01-02-2017,Q3,14:23,2017
05-05-2017,Q4,16:43,2017
04-08-2017,Q1,16:14,2017
01-11-2017,Q2,16:55,2017
06-02-2018,Q3,14:14,2018
10-05-2018,Q4,18:37,2018
01-08-2018,Q1,14:02,2018
13-11-2018,Q2,14:30,2018
05-02-2019,Q3,14:17,2019
09-05-2019,Q4,13:41,2019
31-07-2019,Q1,14:00,2019
05-11-2019,Q2,14:30,2019
05-02-2020,Q3,13:48,2020
19-05-2020,Q4,20:37,2020
05-08-2020,Q1,18:40,2020
04-11-2020,Q2,19:19,2020
03-02-2021,Q3,18:51,2021
12-05-2021,Q4,18:39,2021
04-08-2021,Q1,17:05,2021
29-10-2021,Q2,17:55,2021
02-02-2022,Q3,18:20,2022
12-05-2022,Q4,18:45,2022
12-08-2022,Q1,17:13,2022
14-11-2022,Q2,18:49,2022
