Date,Quarter,Time,Year
10-05-2013,Q4,15:10,2013
16-07-2013,Q1,14:08,2013
07-11-2013,Q2,08:23,2013
21-01-2014,Q3,18:07,2014
22-05-2014,Q4,16:55,2014
25-07-2014,Q1,19:07,2014
07-11-2014,Q2,08:31,2014
29-01-2015,Q3,14:47,2015
12-05-2015,Q4,17:59,2015
12-08-2015,Q1,13:41,2015
04-11-2015,Q2,18:10,2015
11-02-2016,Q3,15:17,2016
25-05-2016,Q4,13:57,2016
21-07-2016,Q1,12:07,2016
08-11-2016,Q2,12:51,2016
25-01-2017,Q3,17:51,2017
25-05-2017,Q4,15:06,2017
21-07-2017,Q1,12:50,2017
08-11-2017,Q2,13:03,2017
01-02-2018,Q3,18:30,2018
18-05-2018,Q4,15:28,2018
17-07-2018,Q1,13:37,2018
13-11-2018,Q2,15:51,2018
14-02-2019,Q3,15:20,2019
24-05-2019,Q4,15:27,2019
31-07-2019,Q1,18:36,2019
08-11-2019,Q2,16:01,2019
12-02-2020,Q3,16:42,2020
25-06-2020,Q4,20:33,2020
12-08-2020,Q1,18:42,2020
06-11-2020,Q2,19:35,2020
11-02-2021,Q3,18:18,2021
24-06-2021,Q4,22:01,2021
12-08-2021,Q1,17:48,2021
12-11-2021,Q2,19:28,2021
19-05-2022,Q4,16:24,2022
29-07-2022,Q1,13:29,2022
10-11-2022,Q2,23:12,2022
