Date,Quarter,Time,Year
22-07-2013,Q1,15:07,2013
21-10-2013,Q2,15:11,2013
20-01-2014,Q3,15:31,2014
14-05-2014,Q4,17:39,2014
22-07-2014,Q1,14:59,2014
22-10-2014,Q2,15:11,2014
29-01-2015,Q3,12:47,2015
18-05-2015,Q4,14:47,2015
21-07-2015,Q1,12:56,2015
23-10-2015,Q2,16:00,2015
18-01-2016,Q3,17:50,2016
11-05-2016,Q4,15:12,2016
27-07-2016,Q1,15:51,2016
25-10-2016,Q2,15:15,2016
23-01-2017,Q3,17:25,2017
12-05-2017,Q4,15:51,2017
25-07-2017,Q1,14:42,2017
24-10-2017,Q2,14:59,2017
22-01-2018,Q3,17:21,2018
10-05-2018,Q4,17:06,2018
24-07-2018,Q1,18:55,2018
23-10-2018,Q2,10:17,2018
22-01-2019,Q3,14:21,2019
09-05-2019,Q4,15:01,2019
24-07-2019,Q1,13:26,2019
22-10-2019,Q2,19:17,2019
22-01-2020,Q3,14:33,2020
23-06-2020,Q4,18:32,2020
24-07-2020,Q1,15:09,2020
22-10-2020,Q2,14:41,2020
21-01-2021,Q3,14:25,2021
12-05-2021,Q4,20:17,2021
20-07-2021,Q1,13:56,2021
21-10-2021,Q2,13:42,2021
20-01-2022,Q3,13:47,2022
10-05-2022,Q4,22:36,2022
26-07-2022,Q1,13:35,2022
20-10-2022,Q2,13:37,2022
03-11-2022,Q2,19:54,2022
19-01-2023,Q3,13:39,2023
