Date,Quarter,Time,Year
31-05-2013,Q4,11:58,2013
12-08-2013,Q1,10:49,2013
08-11-2013,Q2,09:31,2013
06-02-2014,Q3,19:07,2014
30-05-2014,Q4,20:59,2014
07-08-2014,Q1,20:31,2014
07-11-2014,Q2,08:31,2014
05-02-2015,Q3,08:55,2015
28-05-2015,Q4,20:07,2015
12-08-2015,Q1,20:11,2015
07-11-2015,Q2,11:07,2015
09-02-2016,Q3,18:14,2016
30-05-2016,Q4,20:14,2016
23-08-2016,Q1,19:15,2016
14-11-2016,Q2,19:21,2016
09-02-2017,Q3,19:13,2017
29-05-2017,Q4,20:07,2017
09-08-2017,Q1,17:35,2017
09-11-2017,Q2,19:25,2017
07-02-2018,Q3,17:40,2018
28-05-2018,Q4,19:25,2018
09-08-2018,Q1,17:15,2018
13-11-2018,Q2,08:56,2018
07-02-2019,Q3,20:09,2019
29-05-2019,Q4,11:53,2019
07-08-2019,Q1,18:53,2019
12-11-2019,Q2,17:58,2019
06-02-2020,Q3,18:27,2020
03-06-2020,Q4,18:48,2020
12-08-2020,Q1,19:36,2020
11-11-2020,Q2,17:53,2020
10-02-2021,Q3,19:00,2021
31-05-2021,Q4,13:35,2021
12-08-2021,Q1,19:40,2021
08-11-2021,Q2,19:33,2021
09-02-2022,Q3,17:52,2022
31-05-2022,Q4,17:27,2022
11-08-2022,Q1,17:39,2022
12-11-2022,Q2,17:31,2022
25-11-2022,Q2,23:40,2022
