Date,Quarter,Time,Year
25-04-2013,Q4,08:45,2013
18-07-2013,Q1,15:21,2013
17-10-2013,Q2,13:19,2013
16-01-2014,Q3,12:31,2014
25-04-2014,Q4,15:11,2014
22-07-2014,Q1,15:51,2014
17-10-2014,Q2,15:59,2014
16-01-2015,Q3,11:27,2015
29-04-2015,Q4,15:27,2015
24-07-2015,Q1,14:12,2015
27-10-2015,Q2,13:55,2015
20-01-2016,Q3,16:44,2016
26-04-2016,Q4,17:42,2016
22-07-2016,Q1,17:01,2016
25-10-2016,Q2,16:50,2016
19-01-2017,Q3,16:29,2017
26-04-2017,Q4,17:22,2017
25-07-2017,Q1,16:23,2017
17-10-2017,Q2,16:20,2017
22-01-2018,Q3,13:53,2018
26-04-2018,Q4,18:01,2018
16-05-2018,Q4,14:51,2018
30-07-2018,Q1,17:54,2018
02-11-2018,Q2,16:05,2018
29-01-2019,Q3,16:03,2019
25-04-2019,Q4,16:45,2019
30-07-2019,Q1,16:02,2019
22-10-2019,Q2,15:38,2019
22-01-2020,Q3,16:20,2020
28-04-2020,Q4,16:44,2020
21-07-2020,Q1,16:55,2020
29-10-2020,Q2,15:35,2020
27-01-2021,Q3,16:41,2021
27-04-2021,Q4,16:47,2021
26-07-2021,Q1,17:22,2021
26-10-2021,Q2,16:36,2021
24-01-2022,Q3,16:40,2022
28-04-2022,Q4,16:53,2022
25-07-2022,Q1,16:33,2022
20-10-2022,Q2,17:45,2022
