Date,Quarter,Time,Year
19-07-2013,Q1,11:12,2013
17-10-2013,Q2,08:28,2013
16-01-2014,Q3,12:35,2014
15-05-2014,Q4,13:15,2014
17-07-2014,Q1,11:47,2014
14-10-2014,Q2,17:43,2014
15-01-2015,Q3,13:11,2015
21-05-2015,Q4,11:55,2015
23-07-2015,Q1,11:18,2015
21-10-2015,Q2,13:07,2015
04-02-2016,Q3,13:20,2016
25-05-2016,Q4,13:49,2016
27-07-2016,Q1,12:18,2016
28-10-2016,Q2,13:08,2016
31-01-2017,Q3,12:58,2017
18-05-2017,Q4,13:57,2017
20-07-2017,Q1,12:25,2017
17-10-2017,Q2,13:08,2017
02-02-2018,Q3,13:41,2018
18-05-2018,Q4,14:07,2018
20-07-2018,Q1,12:25,2018
24-10-2018,Q2,13:59,2018
30-01-2019,Q3,14:10,2019
17-05-2019,Q4,14:53,2019
26-07-2019,Q1,12:26,2019
23-10-2019,Q2,13:10,2019
30-01-2020,Q3,13:10,2020
20-05-2020,Q4,17:44,2020
22-07-2020,Q1,12:01,2020
22-10-2020,Q2,13:04,2020
21-01-2021,Q3,14:32,2021
29-04-2021,Q4,17:16,2021
22-07-2021,Q1,12:18,2021
27-10-2021,Q2,17:50,2021
19-01-2022,Q3,17:38,2022
27-04-2022,Q4,17:23,2022
26-07-2022,Q1,13:53,2022
14-10-2022,Q2,16:11,2022
21-10-2022,Q2,15:32,2022
