Date,Quarter,Time,Year
15-05-2013,Q4,16:54,2013
18-07-2013,Q1,15:31,2013
15-10-2013,Q2,15:11,2013
15-01-2014,Q3,15:27,2014
14-05-2014,Q4,16:11,2014
16-07-2014,Q1,15:15,2014
14-10-2014,Q2,15:03,2014
14-01-2015,Q3,15:51,2015
20-05-2015,Q4,16:15,2015
22-07-2015,Q1,15:40,2015
20-10-2015,Q2,15:37,2015
03-02-2016,Q3,16:24,2016
24-05-2016,Q4,16:49,2016
26-07-2016,Q1,15:29,2016
27-10-2016,Q2,16:09,2016
30-01-2017,Q3,15:34,2017
17-05-2017,Q4,18:26,2017
19-07-2017,Q1,16:23,2017
16-10-2017,Q2,16:09,2017
01-02-2018,Q3,16:41,2018
17-05-2018,Q4,17:30,2018
19-07-2018,Q1,16:28,2018
23-10-2018,Q2,16:39,2018
29-01-2019,Q3,16:49,2019
16-05-2019,Q4,19:03,2019
25-07-2019,Q1,16:15,2019
22-10-2019,Q2,16:02,2019
29-01-2020,Q3,16:28,2020
21-05-2020,Q4,13:31,2020
21-07-2020,Q1,16:40,2020
21-10-2020,Q2,17:44,2020
20-01-2021,Q3,17:44,2021
28-04-2021,Q4,12:28,2021
21-07-2021,Q1,12:30,2021
28-10-2021,Q2,12:40,2021
20-01-2022,Q3,14:06,2022
28-04-2022,Q4,13:44,2022
28-07-2022,Q1,11:59,2022
21-10-2022,Q2,13:24,2022
03-11-2022,Q2,18:02,2022
