Date,Quarter,Time,Year
15-05-2013,Q4,13:09,2013
18-07-2013,Q1,11:32,2013
15-10-2013,Q2,12:51,2013
15-01-2014,Q3,12:23,2014
14-05-2014,Q4,14:51,2014
16-07-2014,Q1,12:07,2014
14-10-2014,Q2,12:59,2014
14-01-2015,Q3,13:35,2015
20-05-2015,Q4,13:23,2015
22-07-2015,Q1,11:52,2015
20-10-2015,Q2,13:05,2015
03-02-2016,Q3,13:48,2016
24-05-2016,Q4,16:50,2016
26-07-2016,Q1,14:08,2016
27-10-2016,Q2,13:58,2016
30-01-2017,Q3,12:51,2017
17-05-2017,Q4,14:31,2017
19-07-2017,Q1,12:17,2017
16-10-2017,Q2,13:28,2017
01-02-2018,Q3,14:18,2018
17-05-2018,Q4,14:05,2018
19-07-2018,Q1,12:20,2018
23-10-2018,Q2,13:49,2018
29-01-2019,Q3,14:14,2019
16-05-2019,Q4,14:27,2019
25-07-2019,Q1,12:23,2019
22-10-2019,Q2,13:26,2019
29-01-2020,Q3,13:37,2020
19-05-2020,Q4,19:33,2020
21-07-2020,Q1,12:05,2020
21-10-2020,Q2,13:25,2020
20-01-2021,Q3,16:11,2021
27-04-2021,Q4,17:39,2021
20-07-2021,Q1,15:25,2021
26-10-2021,Q2,16:31,2021
18-01-2022,Q3,17:45,2022
26-04-2022,Q4,18:21,2022
27-07-2022,Q1,15:02,2022
20-10-2022,Q2,18:18,2022
