Date,Quarter,Time,Year
30-05-2013,Q4,15:11,2013
01-08-2013,Q1,18:11,2013
28-10-2013,Q2,09:55,2013
30-01-2014,Q3,19:43,2014
15-05-2014,Q4,20:19,2014
04-08-2014,Q1,08:59,2014
13-11-2014,Q2,18:47,2014
14-02-2015,Q3,15:19,2015
14-05-2015,Q4,20:27,2015
08-08-2015,Q1,17:55,2015
09-11-2015,Q2,19:33,2015
14-02-2016,Q3,16:09,2016
18-05-2016,Q4,19:17,2016
10-09-2016,Q1,18:29,2016
30-11-2016,Q2,18:32,2016
10-02-2017,Q3,18:30,2017
25-05-2017,Q4,19:44,2017
31-07-2017,Q1,08:53,2017
08-11-2017,Q2,19:21,2017
14-02-2018,Q3,18:36,2018
17-05-2018,Q4,18:47,2018
11-08-2018,Q1,17:39,2018
05-11-2018,Q2,18:48,2018
08-02-2019,Q3,17:28,2019
17-05-2019,Q4,18:31,2019
10-08-2019,Q1,16:38,2019
14-11-2019,Q2,18:11,2019
14-02-2020,Q3,17:56,2020
20-06-2020,Q4,16:36,2020
13-08-2020,Q1,17:57,2020
06-11-2020,Q2,19:37,2020
08-02-2021,Q3,18:03,2021
14-05-2021,Q4,19:43,2021
06-08-2021,Q1,17:00,2021
11-11-2021,Q2,17:14,2021
13-05-2022,Q4,18:16,2022
04-08-2022,Q1,17:15,2022
14-11-2022,Q2,18:05,2022
28-11-2022,Q2,17:23,2022
