Date,Quarter,Time,Year
10-05-2013,Q4,16:13,2013
31-07-2013,Q1,15:35,2013
31-10-2013,Q2,15:11,2013
06-02-2014,Q3,14:27,2014
12-05-2014,Q4,14:35,2014
07-08-2014,Q1,14:47,2014
07-11-2014,Q2,16:15,2014
06-02-2015,Q3,13:43,2015
27-05-2015,Q4,14:31,2015
12-08-2015,Q1,14:18,2015
03-11-2015,Q2,14:55,2015
08-02-2016,Q3,15:12,2016
20-05-2016,Q4,15:57,2016
11-08-2016,Q1,22:14,2016
15-11-2016,Q2,15:06,2016
11-02-2017,Q3,15:36,2017
27-05-2017,Q4,15:58,2017
31-07-2017,Q1,14:27,2017
07-11-2017,Q2,14:37,2017
08-02-2018,Q3,14:13,2018
19-05-2018,Q4,15:45,2018
02-02-2022,Q3,14:53,2022
24-05-2022,Q4,15:19,2022
04-08-2022,Q1,14:25,2022
09-11-2022,Q2,20:55,2022
24-11-2022,Q2,19:04,2022
