Date,Quarter,Time,Year
01-08-2013,Q1,11:27,2013
31-10-2013,Q2,11:23,2013
06-02-2014,Q3,11:07,2014
13-05-2014,Q4,11:39,2014
28-07-2014,Q1,11:11,2014
07-11-2014,Q2,10:23,2014
30-01-2015,Q3,11:07,2015
11-05-2015,Q4,10:43,2015
30-07-2015,Q1,10:51,2015
06-11-2015,Q2,09:10,2015
13-02-2016,Q3,12:02,2016
13-05-2016,Q4,17:26,2016
11-08-2016,Q1,08:50,2016
11-11-2016,Q2,16:44,2016
10-02-2017,Q3,16:43,2017
18-05-2017,Q4,19:36,2017
11-08-2017,Q1,16:25,2017
14-11-2017,Q2,15:37,2017
09-02-2018,Q3,16:59,2018
25-05-2018,Q4,18:19,2018
27-07-2018,Q1,17:21,2018
30-10-2018,Q2,20:36,2018
29-01-2019,Q3,17:48,2019
22-05-2019,Q4,17:01,2019
25-07-2019,Q1,17:41,2019
08-11-2019,Q2,17:39,2019
24-01-2020,Q3,18:16,2020
23-06-2020,Q4,19:02,2020
10-08-2020,Q1,17:22,2020
29-10-2020,Q2,14:24,2020
27-01-2021,Q3,15:02,2021
31-05-2021,Q4,10:53,2021
07-08-2021,Q1,14:30,2021
10-11-2021,Q2,14:24,2021
05-02-2022,Q3,14:49,2022
13-05-2022,Q4,15:45,2022
30-07-2022,Q1,15:06,2022
05-11-2022,Q2,13:11,2022
