Date,Quarter,Time,Year
25-04-2013,Q4,16:59,2013
25-07-2013,Q1,16:24,2013
30-10-2013,Q2,14:39,2013
12-02-2014,Q3,17:07,2014
02-05-2014,Q4,09:51,2014
05-08-2014,Q1,16:03,2014
05-11-2014,Q2,16:59,2014
11-02-2015,Q3,18:43,2015
27-05-2015,Q4,17:59,2015
05-08-2015,Q1,19:02,2015
04-11-2015,Q2,17:17,2015
10-02-2016,Q3,15:21,2016
30-05-2016,Q4,17:59,2016
03-08-2016,Q1,18:46,2016
25-11-2016,Q2,14:26,2016
09-02-2017,Q3,15:30,2017
15-05-2017,Q4,16:35,2017
02-08-2017,Q1,15:43,2017
14-11-2017,Q2,14:48,2017
09-02-2018,Q3,15:43,2018
22-05-2018,Q4,17:04,2018
20-07-2018,Q1,20:29,2018
02-11-2018,Q2,15:06,2018
12-02-2019,Q3,16:24,2019
24-05-2019,Q4,16:25,2019
02-08-2019,Q1,19:46,2019
13-11-2019,Q2,16:10,2019
06-02-2020,Q3,16:30,2020
25-05-2020,Q4,17:56,2020
07-08-2020,Q1,19:32,2020
10-11-2020,Q2,19:12,2020
10-02-2021,Q3,18:43,2021
09-06-2021,Q4,19:39,2021
11-08-2021,Q1,18:48,2021
03-11-2021,Q2,17:53,2021
08-02-2022,Q3,18:36,2022
25-05-2022,Q4,19:08,2022
11-08-2022,Q1,15:12,2022
10-11-2022,Q2,18:39,2022
22-11-2022,Q2,15:23,2022
