Date,Quarter,Time,Year
30-05-2013,Q4,17:51,2013
26-07-2013,Q1,12:40,2013
25-10-2013,Q2,17:27,2013
24-01-2014,Q3,17:39,2014
30-05-2014,Q4,15:11,2014
31-07-2014,Q1,13:15,2014
07-11-2014,Q2,14:51,2014
23-01-2015,Q3,18:35,2015
29-05-2015,Q4,13:39,2015
24-07-2015,Q1,20:31,2015
29-10-2015,Q2,17:58,2015
27-01-2016,Q3,14:23,2016
27-05-2016,Q4,14:38,2016
05-08-2016,Q1,20:46,2016
27-10-2016,Q2,17:37,2016
27-01-2017,Q3,19:03,2017
29-05-2017,Q4,18:15,2017
31-07-2017,Q1,16:36,2017
30-10-2017,Q2,20:07,2017
30-01-2018,Q3,21:18,2018
29-05-2018,Q4,20:01,2018
31-07-2018,Q1,15:09,2018
26-10-2018,Q2,14:42,2018
30-01-2019,Q3,18:30,2019
29-05-2019,Q4,18:47,2019
29-07-2019,Q1,20:10,2019
30-01-2020,Q3,20:55,2020
29-06-2020,Q4,23:38,2020
27-07-2020,Q1,19:09,2020
06-11-2020,Q2,18:33,2020
28-01-2021,Q3,17:32,2021
22-06-2021,Q4,18:20,2021
06-08-2021,Q1,16:28,2021
29-10-2021,Q2,13:08,2021
28-01-2022,Q3,17:30,2022
23-05-2022,Q4,16:29,2022
16-07-2022,Q1,17:09,2022
27-10-2022,Q2,13:07,2022
08-11-2022,Q2,17:38,2022
