Date,Quarter,Time,Year
03-11-2013,Q2,16:59,2013
01-02-2014,Q3,17:15,2014
30-05-2014,Q4,14:55,2014
01-08-2014,Q1,15:07,2014
04-11-2014,Q2,18:27,2014
30-01-2015,Q3,15:47,2015
29-05-2015,Q4,13:27,2015
03-08-2015,Q1,11:19,2015
03-11-2015,Q2,14:23,2015
04-02-2016,Q3,15:40,2016
30-05-2016,Q4,16:42,2016
03-08-2016,Q1,11:14,2016
03-11-2016,Q2,15:56,2016
10-02-2017,Q3,15:28,2017
30-05-2017,Q4,14:38,2017
04-08-2017,Q1,15:06,2017
02-11-2017,Q2,16:29,2017
06-02-2018,Q3,14:15,2018
30-05-2018,Q4,15:54,2018
03-08-2018,Q1,16:41,2018
01-11-2018,Q2,14:04,2018
01-02-2019,Q3,15:53,2019
30-05-2019,Q4,15:15,2019
05-08-2019,Q1,17:14,2019
05-11-2019,Q2,14:50,2019
05-02-2020,Q3,15:00,2020
23-06-2020,Q4,17:13,2020
14-08-2020,Q1,15:56,2020
05-11-2020,Q2,16:24,2020
09-02-2021,Q3,15:27,2021
26-05-2021,Q4,15:04,2021
06-08-2021,Q1,14:55,2021
10-11-2021,Q2,15:58,2021
09-02-2022,Q3,16:48,2022
26-05-2022,Q4,16:57,2022
04-08-2022,Q1,15:25,2022
10-11-2022,Q2,16:31,2022
