Date,Quarter,Time,Year
08-08-2013,Q1,12:40,2013
25-10-2013,Q2,13:55,2013
04-02-2014,Q3,12:47,2014
27-05-2014,Q4,15:27,2014
30-07-2014,Q1,12:27,2014
10-11-2014,Q2,12:07,2014
02-02-2015,Q3,12:55,2015
20-05-2015,Q4,13:15,2015
03-08-2015,Q1,09:43,2015
29-10-2015,Q2,13:41,2015
09-02-2016,Q3,12:53,2016
17-05-2016,Q4,13:24,2016
05-08-2016,Q1,09:57,2016
08-11-2016,Q2,13:00,2016
08-02-2017,Q3,12:49,2017
24-05-2017,Q4,12:14,2017
10-08-2017,Q1,10:23,2017
08-11-2017,Q2,12:24,2017
08-02-2018,Q3,11:51,2018
22-05-2018,Q4,12:10,2018
09-08-2018,Q1,09:37,2018
02-11-2018,Q2,13:32,2018
13-02-2019,Q3,20:25,2019
20-05-2019,Q4,12:51,2019
13-08-2019,Q1,10:14,2019
08-11-2019,Q2,12:08,2019
10-02-2020,Q3,12:47,2020
29-06-2020,Q4,13:19,2020
12-08-2020,Q1,13:34,2020
12-11-2020,Q2,09:40,2020
12-02-2021,Q3,13:12,2021
04-06-2021,Q4,11:53,2021
12-08-2021,Q1,12:53,2021
12-11-2021,Q2,13:49,2021
10-02-2022,Q3,12:48,2022
16-05-2022,Q4,11:59,2022
11-08-2022,Q1,12:44,2022
14-11-2022,Q2,13:02,2022
29-11-2022,Q2,15:50,2022
