Date,Quarter,Time,Year
02-05-2013,Q4,09:03,2013
31-07-2013,Q1,09:02,2013
30-10-2013,Q2,09:11,2013
29-01-2014,Q3,09:15,2014
29-04-2014,Q4,16:19,2014
30-07-2014,Q1,08:23,2014
30-10-2014,Q2,16:27,2014
04-02-2015,Q3,16:15,2015
28-04-2015,Q4,18:59,2015
04-08-2015,Q1,17:22,2015
26-10-2015,Q2,09:00,2015
28-01-2016,Q3,16:06,2016
27-04-2016,Q4,18:48,2016
27-07-2016,Q1,17:16,2016
25-10-2016,Q2,18:04,2016
24-01-2017,Q3,17:19,2017
09-05-2017,Q4,20:09,2017
25-07-2017,Q1,17:03,2017
31-10-2017,Q2,16:15,2017
18-01-2018,Q3,18:14,2018
24-04-2018,Q4,17:41,2018
26-07-2018,Q1,16:52,2018
25-10-2018,Q2,16:36,2018
01-02-2019,Q3,14:54,2019
06-05-2019,Q4,19:14,2019
01-08-2019,Q1,16:42,2019
14-11-2019,Q2,16:42,2019
04-02-2020,Q3,17:32,2020
19-05-2020,Q4,14:38,2020
29-07-2020,Q1,19:30,2020
27-10-2020,Q2,16:38,2020
03-02-2021,Q3,16:12,2021
17-05-2021,Q4,16:28,2021
03-08-2021,Q1,16:21,2021
03-11-2021,Q2,15:37,2021
08-02-2022,Q3,16:03,2022
17-05-2022,Q4,15:41,2022
08-08-2022,Q1,16:48,2022
31-10-2022,Q2,16:17,2022
15-11-2022,Q2,21:04,2022
