Date,Quarter,Time,Year
03-08-2013,Q1,12:27,2013
06-11-2013,Q2,14:15,2013
05-02-2014,Q3,13:19,2014
29-05-2014,Q4,16:47,2014
12-08-2014,Q1,16:03,2014
14-11-2014,Q2,12:47,2014
12-02-2015,Q3,15:31,2015
26-05-2015,Q4,15:31,2015
07-08-2015,Q1,13:39,2015
06-11-2015,Q2,13:44,2015
11-02-2016,Q3,17:05,2016
27-05-2016,Q4,17:23,2016
07-09-2016,Q1,13:56,2016
08-11-2016,Q2,13:50,2016
07-02-2017,Q3,14:15,2017
29-05-2017,Q4,18:41,2017
10-08-2017,Q1,12:38,2017
07-11-2017,Q2,13:39,2017
08-02-2018,Q3,14:26,2018
29-05-2018,Q4,12:14,2018
25-07-2018,Q1,12:26,2018
25-10-2018,Q2,11:43,2018
05-02-2019,Q3,13:17,2019
28-05-2019,Q4,11:06,2019
09-08-2019,Q1,16:16,2019
13-11-2019,Q2,16:15,2019
11-02-2020,Q3,17:10,2020
13-06-2020,Q4,15:32,2020
11-09-2020,Q1,16:07,2020
06-11-2020,Q2,15:36,2020
06-02-2021,Q3,15:33,2021
11-06-2021,Q4,17:23,2021
30-07-2021,Q1,15:48,2021
09-11-2021,Q2,16:06,2021
27-01-2022,Q3,16:02,2022
21-05-2022,Q4,15:14,2022
04-08-2022,Q1,14:32,2022
11-11-2022,Q2,16:11,2022
23-11-2022,Q2,16:38,2022
