Date,Quarter,Time,Year
26-04-2013,Q4,09:54,2013
26-07-2013,Q1,10:16,2013
24-10-2013,Q2,20:59,2013
23-01-2014,Q3,08:31,2014
25-04-2014,Q4,10:15,2014
25-07-2014,Q1,08:07,2014
22-10-2014,Q2,08:59,2014
23-01-2015,Q3,08:55,2015
30-04-2015,Q4,08:35,2015
24-07-2015,Q1,07:56,2015
20-10-2015,Q2,20:54,2015
21-01-2016,Q3,20:51,2016
26-04-2016,Q4,22:49,2016
21-07-2016,Q1,19:05,2016
20-10-2016,Q2,19:30,2016
24-01-2017,Q3,19:46,2017
27-04-2017,Q4,20:33,2017
27-07-2017,Q1,19:27,2017
26-10-2017,Q2,18:34,2017
24-01-2018,Q3,18:17,2018
26-04-2018,Q4,19:17,2018
26-07-2018,Q1,18:56,2018
25-10-2018,Q2,18:17,2018
24-01-2019,Q3,17:48,2019
25-04-2019,Q4,19:08,2019
25-07-2019,Q1,18:26,2019
23-10-2019,Q2,18:23,2019
23-01-2020,Q3,18:36,2020
14-05-2020,Q4,22:58,2020
23-07-2020,Q1,23:05,2020
22-10-2020,Q2,23:47,2020
21-01-2021,Q3,23:02,2021
28-04-2021,Q4,23:50,2021
22-07-2021,Q1,23:34,2021
21-10-2021,Q2,23:15,2021
20-01-2022,Q3,21:57,2022
28-04-2022,Q4,20:54,2022
27-07-2022,Q1,19:04,2022
14-11-2022,Q2,20:21,2022
