Date,Quarter,Time,Year
29-04-2013,Q4,15:54,2013
06-08-2013,Q1,16:13,2013
12-11-2013,Q2,15:35,2013
28-02-2014,Q3,08:23,2014
25-04-2014,Q4,13:07,2014
11-08-2014,Q1,13:11,2014
11-11-2014,Q2,13:23,2014
13-02-2015,Q3,13:47,2015
29-05-2015,Q4,14:15,2015
11-08-2015,Q1,12:19,2015
06-11-2015,Q2,12:22,2015
05-02-2016,Q3,13:53,2016
25-05-2016,Q4,13:40,2016
12-08-2016,Q1,11:51,2016
09-11-2016,Q2,17:11,2016
10-02-2017,Q3,13:30,2017
25-05-2017,Q4,13:07,2017
11-08-2017,Q1,13:32,2017
10-11-2017,Q2,12:01,2017
05-02-2018,Q3,13:17,2018
22-05-2018,Q4,12:43,2018
10-08-2018,Q1,11:47,2018
05-11-2018,Q2,13:38,2018
13-02-2019,Q3,12:52,2019
21-05-2019,Q4,12:55,2019
13-08-2019,Q1,13:35,2019
06-11-2019,Q2,15:23,2019
05-02-2020,Q3,12:33,2020
22-05-2020,Q4,13:48,2020
11-08-2020,Q1,13:19,2020
06-11-2020,Q2,14:45,2020
11-02-2021,Q3,15:42,2021
20-05-2021,Q4,13:18,2021
04-08-2021,Q1,14:58,2021
09-11-2021,Q2,23:31,2021
09-02-2022,Q3,13:07,2022
19-05-2022,Q4,14:16,2022
02-08-2022,Q1,19:09,2022
08-11-2022,Q2,15:26,2022
23-11-2022,Q2,19:13,2022
