Date,Quarter,Time,Year
29-05-2013,Q4,18:35,2013
13-08-2013,Q1,16:40,2013
13-11-2013,Q2,14:11,2013
12-02-2014,Q3,14:11,2014
29-05-2014,Q4,15:15,2014
12-08-2014,Q1,14:19,2014
12-11-2014,Q2,18:19,2014
13-02-2015,Q3,13:51,2015
28-05-2015,Q4,14:51,2015
14-08-2015,Q1,13:22,2015
09-11-2015,Q2,13:48,2015
12-02-2016,Q3,16:28,2016
26-05-2016,Q4,18:31,2016
31-08-2016,Q1,15:14,2016
11-11-2016,Q2,19:24,2016
09-02-2017,Q3,19:49,2017
30-05-2017,Q4,09:29,2017
11-08-2017,Q1,18:22,2017
10-11-2017,Q2,20:16,2017
09-02-2018,Q3,17:42,2018
29-05-2018,Q4,19:43,2018
08-08-2018,Q1,18:26,2018
29-10-2018,Q2,20:45,2018
08-02-2019,Q3,17:27,2019
20-05-2019,Q4,19:10,2019
09-08-2019,Q1,20:03,2019
07-11-2019,Q2,18:22,2019
13-02-2020,Q3,20:11,2020
03-06-2020,Q4,19:21,2020
13-08-2020,Q1,18:05,2020
29-10-2020,Q2,13:29,2020
08-02-2021,Q3,19:35,2021
26-05-2021,Q4,19:40,2021
12-08-2021,Q1,15:30,2021
29-10-2021,Q2,18:01,2021
31-01-2022,Q3,17:20,2022
26-05-2022,Q4,14:28,2022
06-08-2022,Q1,19:32,2022
07-11-2022,Q2,21:18,2022
