Date,Quarter,Time,Year
24-05-2013,Q4,20:11,2013
12-08-2013,Q1,13:12,2013
11-11-2013,Q2,20:43,2013
14-02-2014,Q3,22:47,2014
27-05-2014,Q4,08:31,2014
12-08-2014,Q1,11:51,2014
15-11-2014,Q2,11:11,2014
03-02-2015,Q3,16:03,2015
21-05-2015,Q4,19:43,2015
04-08-2015,Q1,11:13,2015
07-11-2015,Q2,17:12,2015
09-02-2016,Q3,20:02,2016
20-05-2016,Q4,16:57,2016
08-08-2016,Q1,11:03,2016
07-11-2016,Q2,18:16,2016
13-02-2017,Q3,15:16,2017
25-05-2017,Q4,16:16,2017
07-08-2017,Q1,11:35,2017
11-11-2017,Q2,12:17,2017
12-02-2018,Q3,18:07,2018
15-05-2018,Q4,19:30,2018
06-08-2018,Q1,11:10,2018
12-11-2018,Q2,17:27,2018
07-02-2019,Q3,19:22,2019
01-05-2019,Q4,18:56,2019
09-08-2019,Q1,11:15,2019
11-11-2019,Q2,18:26,2019
07-02-2020,Q3,17:15,2020
02-06-2020,Q4,16:08,2020
17-07-2020,Q1,12:51,2020
19-10-2020,Q2,17:06,2020
05-02-2021,Q3,19:06,2021
27-04-2021,Q4,17:43,2021
30-07-2021,Q1,21:08,2021
08-11-2021,Q2,15:34,2021
28-01-2022,Q3,18:29,2022
02-05-2022,Q4,16:39,2022
04-08-2022,Q1,15:19,2022
04-11-2022,Q2,23:08,2022
