Date,Quarter,Time,Year
05-05-2014,Q4,13:39,2014
26-05-2014,Q4,13:11,2014
21-07-2014,Q1,12:55,2014
07-11-2014,Q2,08:35,2014
04-02-2015,Q3,12:55,2015
25-05-2015,Q4,15:03,2015
05-08-2015,Q1,13:45,2015
04-11-2015,Q2,14:13,2015
12-02-2016,Q3,14:17,2016
27-05-2016,Q4,15:13,2016
25-07-2016,Q1,15:43,2016
26-10-2016,Q2,13:54,2016
20-01-2017,Q3,14:30,2017
08-05-2017,Q4,14:46,2017
27-05-2017,Q4,20:48,2017
19-07-2017,Q1,15:53,2017
27-10-2017,Q2,15:53,2017
24-01-2018,Q3,16:01,2018
11-05-2018,Q4,15:59,2018
30-05-2018,Q4,18:05,2018
25-07-2018,Q1,16:30,2018
31-10-2018,Q2,15:58,2018
28-01-2019,Q3,13:16,2019
10-05-2019,Q4,14:41,2019
22-05-2019,Q4,15:24,2019
24-07-2019,Q1,15:03,2019
06-11-2019,Q2,13:53,2019
23-01-2020,Q3,13:32,2020
24-06-2020,Q4,16:42,2020
05-08-2020,Q1,16:59,2020
29-10-2020,Q2,16:23,2020
27-01-2021,Q3,12:45,2021
18-05-2021,Q4,13:45,2021
27-07-2021,Q1,12:57,2021
26-10-2021,Q2,11:46,2021
27-01-2022,Q3,12:19,2022
06-05-2022,Q4,12:22,2022
25-07-2022,Q1,12:47,2022
20-10-2022,Q2,13:08,2022
