Date,Quarter,Time,Year
30-07-2013,Q1,17:32,2013
29-10-2013,Q2,17:55,2013
03-02-2014,Q3,10:11,2014
28-04-2014,Q4,10:39,2014
25-07-2014,Q1,08:03,2014
12-11-2014,Q2,15:47,2014
20-01-2015,Q3,14:39,2015
04-05-2015,Q4,19:43,2015
21-07-2015,Q1,14:57,2015
20-10-2015,Q2,15:00,2015
22-01-2016,Q3,14:23,2016
28-04-2016,Q4,15:29,2016
14-07-2016,Q1,14:39,2016
18-10-2016,Q2,14:41,2016
17-01-2017,Q3,14:02,2017
25-04-2017,Q4,14:15,2017
21-07-2017,Q1,13:35,2017
24-10-2017,Q2,14:04,2017
25-10-2017,Q2,14:00,2017
23-01-2018,Q3,12:35,2018
28-04-2018,Q4,17:32,2018
30-07-2018,Q1,14:14,2018
22-10-2018,Q2,16:35,2018
23-01-2019,Q3,14:38,2019
30-04-2019,Q4,20:45,2019
21-10-2021,Q2,16:30,2021
25-01-2022,Q3,19:15,2022
29-04-2022,Q4,20:35,2022
21-07-2022,Q1,19:47,2022
17-10-2022,Q2,20:15,2022
19-01-2023,Q3,18:19,2023
