Date,Quarter,Time,Year
26-04-2013,Q4,19:21,2013
31-07-2013,Q1,16:36,2013
29-10-2013,Q2,18:35,2013
29-01-2014,Q3,17:43,2014
28-04-2014,Q4,16:43,2014
31-07-2014,Q1,15:39,2014
30-10-2014,Q2,19:07,2014
27-01-2015,Q3,19:27,2015
24-04-2015,Q4,19:43,2015
31-07-2015,Q1,15:53,2015
23-10-2015,Q2,18:33,2015
29-01-2016,Q3,17:35,2016
29-04-2016,Q4,19:14,2016
29-07-2016,Q1,13:47,2016
27-10-2016,Q2,17:52,2016
25-01-2017,Q3,16:38,2017
28-04-2017,Q4,18:50,2017
27-07-2017,Q1,14:35,2017
31-10-2017,Q2,15:37,2017
30-01-2018,Q3,17:41,2018
23-04-2018,Q4,14:56,2018
26-07-2018,Q1,15:36,2018
30-10-2018,Q2,15:43,2018
30-01-2019,Q3,17:47,2019
31-01-2019,Q3,11:21,2019
27-04-2019,Q4,16:55,2019
30-07-2019,Q1,15:01,2019
05-11-2019,Q2,16:14,2019
23-01-2020,Q3,16:08,2020
03-06-2020,Q4,18:50,2020
30-07-2020,Q1,14:49,2020
29-10-2020,Q2,14:39,2020
29-01-2021,Q3,14:45,2021
07-05-2021,Q4,18:24,2021
30-07-2021,Q1,15:51,2021
29-10-2021,Q2,19:33,2021
01-02-2022,Q3,18:55,2022
05-05-2022,Q4,18:45,2022
29-07-2022,Q1,16:18,2022
01-11-2022,Q2,17:57,2022
