Date,Quarter,Time,Year
29-05-2013,Q4,17:50,2013
12-08-2013,Q1,08:56,2013
13-11-2013,Q2,18:03,2013
12-02-2014,Q3,19:15,2014
29-05-2014,Q4,18:15,2014
14-08-2014,Q1,17:35,2014
13-11-2014,Q2,18:59,2014
12-02-2015,Q3,18:11,2015
29-05-2015,Q4,18:15,2015
14-08-2015,Q1,19:21,2015
05-11-2015,Q2,16:47,2015
10-02-2016,Q3,16:25,2016
24-05-2016,Q4,17:58,2016
12-08-2016,Q1,15:36,2016
09-11-2016,Q2,16:40,2016
08-02-2017,Q3,16:37,2017
25-05-2017,Q4,16:14,2017
11-08-2017,Q1,13:30,2017
07-11-2017,Q2,13:53,2017
07-02-2018,Q3,16:11,2018
22-05-2018,Q4,16:09,2018
08-08-2018,Q1,16:12,2018
05-11-2018,Q2,12:38,2018
06-02-2019,Q3,14:51,2019
22-05-2019,Q4,13:17,2019
07-08-2019,Q1,15:39,2019
06-11-2019,Q2,15:51,2019
05-02-2020,Q3,15:18,2020
15-05-2020,Q4,18:56,2020
07-08-2020,Q1,18:43,2020
06-11-2020,Q2,18:14,2020
29-01-2021,Q3,16:33,2021
14-05-2021,Q4,18:12,2021
05-08-2021,Q1,18:59,2021
26-10-2021,Q2,18:32,2021
25-01-2022,Q3,17:39,2022
10-05-2022,Q4,18:34,2022
29-07-2022,Q1,15:45,2022
04-11-2022,Q2,13:57,2022
18-11-2022,Q2,20:58,2022
