Date,Quarter,Time,Year
27-05-2013,Q4,17:10,2013
05-08-2013,Q1,11:31,2013
13-11-2013,Q2,18:51,2013
12-02-2014,Q3,18:19,2014
29-05-2014,Q4,14:07,2014
12-08-2014,Q1,18:19,2014
08-11-2014,Q2,18:39,2014
12-02-2015,Q3,20:03,2015
28-05-2015,Q4,17:11,2015
12-08-2015,Q1,18:41,2015
13-11-2015,Q2,19:32,2015
11-02-2016,Q3,16:31,2016
29-05-2016,Q4,01:42,2016
13-09-2016,Q1,16:54,2016
13-12-2016,Q2,17:42,2016
11-02-2017,Q3,18:28,2017
29-05-2017,Q4,17:30,2017
14-08-2017,Q1,18:00,2017
11-11-2017,Q2,21:24,2017
10-02-2018,Q3,18:33,2018
29-05-2018,Q4,15:03,2018
11-08-2018,Q1,15:56,2018
12-11-2018,Q2,19:50,2018
12-02-2019,Q3,19:51,2019
30-05-2019,Q4,17:23,2019
13-08-2019,Q1,19:27,2019
11-11-2019,Q2,21:55,2019
11-02-2020,Q3,19:08,2020
26-06-2020,Q4,16:29,2020
02-09-2020,Q1,18:25,2020
11-11-2020,Q2,16:13,2020
11-02-2021,Q3,14:32,2021
14-06-2021,Q4,16:23,2021
10-08-2021,Q1,14:22,2021
12-11-2021,Q2,18:26,2021
25-05-2022,Q4,17:03,2022
10-08-2022,Q1,17:54,2022
07-11-2022,Q2,19:09,2022
