Date,Quarter,Time,Year
28-05-2013,Q4,14:57,2013
29-07-2013,Q1,13:29,2013
25-10-2013,Q2,17:23,2013
21-01-2014,Q3,18:11,2014
23-05-2014,Q4,15:19,2014
25-07-2014,Q1,14:03,2014
05-11-2014,Q2,19:11,2014
23-01-2015,Q3,12:59,2015
19-05-2015,Q4,13:23,2015
30-07-2015,Q1,14:11,2015
29-10-2015,Q2,13:30,2015
27-01-2016,Q3,14:30,2016
24-05-2016,Q4,14:30,2016
08-08-2016,Q1,14:46,2016
28-10-2016,Q2,15:02,2016
27-01-2017,Q3,14:30,2017
15-05-2017,Q4,14:19,2017
03-08-2017,Q1,13:15,2017
16-10-2017,Q2,14:51,2017
05-02-2018,Q3,14:15,2018
21-05-2018,Q4,14:28,2018
26-07-2018,Q1,13:33,2018
29-10-2018,Q2,14:14,2018
24-01-2019,Q3,14:10,2019
27-05-2019,Q4,19:19,2019
18-07-2019,Q1,12:14,2019
24-10-2019,Q2,16:07,2019
30-01-2020,Q3,13:38,2020
21-05-2020,Q4,13:47,2020
29-07-2020,Q1,12:55,2020
21-10-2020,Q2,14:23,2020
28-01-2021,Q3,13:25,2021
17-05-2021,Q4,12:56,2021
29-07-2021,Q1,11:38,2021
25-10-2021,Q2,13:48,2021
27-01-2022,Q3,13:40,2022
26-05-2022,Q4,13:18,2022
27-07-2022,Q1,13:47,2022
20-10-2022,Q2,13:48,2022
