Date,Quarter,Time,Year
27-05-2013,Q4,10:49,2013
25-07-2013,Q1,21:02,2013
25-10-2013,Q2,15:51,2013
31-01-2014,Q3,18:31,2014
27-05-2014,Q4,15:07,2014
31-07-2014,Q1,08:47,2014
30-10-2014,Q2,08:51,2014
11-02-2015,Q3,17:39,2015
28-05-2015,Q4,16:11,2015
22-07-2015,Q1,17:47,2015
20-10-2015,Q2,18:18,2015
25-01-2016,Q3,18:46,2016
25-05-2016,Q4,20:37,2016
09-08-2016,Q1,19:06,2016
15-11-2016,Q2,18:04,2016
13-02-2017,Q3,18:26,2017
26-05-2017,Q4,00:03,2017
31-07-2017,Q1,19:54,2017
31-10-2017,Q2,21:21,2017
24-01-2018,Q3,17:45,2018
30-04-2018,Q4,21:26,2018
26-07-2018,Q1,16:14,2018
30-10-2018,Q2,19:47,2018
12-02-2019,Q3,17:13,2019
30-04-2019,Q4,23:07,2019
31-07-2019,Q1,19:24,2019
07-02-2020,Q3,19:24,2020
25-06-2020,Q4,20:24,2020
07-08-2020,Q1,17:13,2020
05-11-2020,Q2,17:21,2020
04-02-2021,Q3,18:17,2021
21-05-2021,Q4,17:52,2021
29-07-2021,Q1,17:34,2021
21-10-2021,Q2,17:32,2021
20-01-2022,Q3,19:05,2022
19-05-2022,Q4,19:06,2022
04-08-2022,Q1,17:31,2022
10-11-2022,Q2,19:02,2022
25-11-2022,Q2,09:59,2022
