Date,Quarter,Time,Year
10-05-2013,Q4,16:42,2013
01-08-2013,Q1,14:57,2013
07-11-2013,Q2,19:11,2013
04-02-2014,Q3,16:11,2014
22-05-2014,Q4,17:03,2014
01-08-2014,Q1,14:31,2014
07-11-2014,Q2,08:39,2014
02-02-2015,Q3,18:19,2015
28-05-2015,Q4,19:07,2015
06-08-2015,Q1,14:17,2015
05-11-2015,Q2,15:16,2015
02-02-2016,Q3,14:27,2016
25-05-2016,Q4,17:06,2016
04-08-2016,Q1,11:39,2016
26-10-2016,Q2,15:39,2016
01-02-2017,Q3,15:41,2017
18-05-2017,Q4,16:04,2017
03-08-2017,Q1,12:14,2017
26-10-2017,Q2,17:03,2017
01-02-2018,Q3,17:32,2018
24-05-2018,Q4,16:50,2018
09-08-2018,Q1,11:44,2018
30-10-2018,Q2,18:08,2018
06-02-2019,Q3,18:31,2019
22-05-2019,Q4,16:35,2019
07-08-2019,Q1,12:12,2019
24-10-2019,Q2,12:41,2019
28-01-2020,Q3,18:33,2020
17-06-2020,Q4,20:14,2020
12-08-2020,Q1,18:34,2020
28-10-2020,Q2,19:17,2020
28-01-2021,Q3,20:58,2021
26-05-2021,Q4,20:25,2021
11-08-2021,Q1,20:14,2021
27-10-2021,Q2,19:08,2021
10-02-2022,Q3,20:36,2022
26-05-2022,Q4,20:19,2022
10-08-2022,Q1,12:08,2022
04-11-2022,Q2,15:27,2022
