Date,Quarter,Time,Year
30-04-2013,Q4,14:35,2013
24-07-2013,Q1,14:01,2013
28-10-2013,Q2,14:19,2013
22-01-2014,Q3,14:15,2014
29-04-2014,Q4,14:43,2014
28-07-2014,Q1,14:03,2014
03-11-2014,Q2,14:31,2014
30-01-2015,Q3,14:23,2015
05-05-2015,Q4,16:19,2015
29-07-2015,Q1,13:44,2015
28-10-2015,Q2,13:13,2015
28-01-2016,Q3,14:13,2016
28-04-2016,Q4,14:48,2016
27-07-2016,Q1,13:54,2016
26-10-2016,Q2,14:09,2016
31-01-2017,Q3,14:11,2017
01-05-2017,Q4,13:57,2017
04-08-2017,Q1,14:02,2017
31-10-2017,Q2,13:43,2017
31-01-2018,Q3,13:43,2018
01-05-2018,Q4,14:51,2018
31-07-2018,Q1,13:30,2018
31-10-2018,Q2,12:53,2018
31-01-2019,Q3,14:39,2019
02-05-2019,Q4,14:04,2019
19-07-2019,Q1,14:52,2019
05-11-2019,Q2,13:49,2019
30-01-2020,Q3,14:18,2020
27-05-2020,Q4,15:05,2020
30-07-2020,Q1,14:30,2020
03-11-2020,Q2,14:05,2020
29-01-2021,Q3,14:28,2021
07-05-2021,Q4,14:17,2021
03-08-2021,Q1,13:59,2021
02-11-2021,Q2,14:06,2021
02-02-2022,Q3,15:30,2022
05-05-2022,Q4,14:13,2022
04-08-2022,Q1,14:43,2022
26-10-2022,Q2,14:49,2022
09-11-2022,Q2,21:57,2022
