Date,Quarter,Time,Year
21-05-2013,Q4,09:41,2013
05-08-2013,Q1,10:05,2013
08-11-2013,Q2,17:31,2013
03-02-2014,Q3,18:03,2014
26-05-2014,Q4,10:23,2014
11-08-2014,Q1,18:43,2014
03-11-2014,Q2,08:31,2014
31-01-2015,Q3,14:11,2015
23-05-2015,Q4,13:03,2015
08-08-2015,Q1,12:42,2015
31-10-2015,Q2,13:07,2015
05-02-2016,Q3,15:37,2016
28-05-2016,Q4,14:09,2016
12-08-2016,Q1,17:55,2016
12-11-2016,Q2,12:12,2016
04-02-2017,Q3,11:45,2017
26-05-2017,Q4,18:06,2017
22-07-2017,Q1,13:49,2017
31-10-2017,Q2,18:41,2017
27-01-2018,Q3,17:39,2018
26-05-2018,Q4,14:37,2018
04-08-2018,Q1,12:57,2018
27-10-2018,Q2,14:33,2018
02-02-2019,Q3,13:24,2019
25-05-2019,Q4,14:50,2019
10-08-2019,Q1,14:35,2019
05-11-2019,Q2,18:02,2019
05-02-2020,Q3,19:23,2020
06-06-2020,Q4,14:51,2020
08-08-2020,Q1,12:37,2020
07-11-2020,Q2,12:35,2020
06-02-2021,Q3,12:15,2021
29-05-2021,Q4,20:17,2021
07-08-2021,Q1,12:06,2021
06-11-2021,Q2,11:48,2021
11-02-2022,Q3,11:59,2022
23-05-2022,Q4,12:21,2022
12-08-2022,Q1,12:43,2022
07-11-2022,Q2,12:52,2022
14-11-2022,Q2,16:16,2022
