Date,Quarter,Time,Year
30-05-2013,Q4,21:35,2013
12-08-2013,Q1,20:54,2013
31-10-2013,Q2,10:23,2013
14-02-2014,Q3,19:47,2014
29-05-2014,Q4,20:59,2014
31-07-2014,Q1,20:07,2014
13-11-2014,Q2,19:59,2014
10-02-2015,Q3,08:35,2015
21-05-2015,Q4,09:35,2015
13-08-2015,Q1,19:30,2015
03-11-2015,Q2,19:29,2015
02-02-2016,Q3,20:19,2016
27-05-2016,Q4,20:01,2016
29-08-2016,Q1,19:23,2016
09-12-2016,Q2,19:44,2016
14-02-2017,Q3,19:25,2017
26-05-2017,Q4,19:34,2017
12-08-2017,Q1,17:43,2017
11-11-2017,Q2,12:18,2017
14-02-2018,Q3,09:47,2018
21-05-2018,Q4,19:53,2018
10-08-2018,Q1,19:46,2018
01-11-2018,Q2,20:55,2018
05-02-2019,Q3,19:39,2019
21-05-2019,Q4,21:42,2019
29-07-2019,Q1,19:45,2019
07-11-2019,Q2,20:38,2019
05-02-2020,Q3,22:08,2020
04-06-2020,Q4,18:58,2020
05-08-2020,Q1,18:19,2020
30-10-2020,Q2,18:06,2020
29-01-2021,Q3,19:50,2021
11-06-2021,Q4,16:47,2021
26-07-2021,Q1,16:20,2021
28-10-2021,Q2,16:35,2021
31-01-2022,Q3,18:44,2022
17-05-2022,Q4,18:17,2022
29-07-2022,Q1,16:19,2022
21-10-2022,Q2,17:44,2022
