Date,Quarter,Time,Year
30-07-2013,Q1,14:44,2013
31-10-2013,Q2,14:19,2013
11-02-2014,Q3,13:47,2014
13-05-2014,Q4,13:39,2014
30-07-2014,Q1,14:03,2014
29-10-2014,Q2,12:19,2014
29-01-2015,Q3,13:11,2015
12-05-2015,Q4,13:27,2015
30-07-2015,Q1,13:51,2015
29-10-2015,Q2,16:11,2015
09-02-2016,Q3,13:20,2016
12-05-2016,Q4,13:16,2016
26-07-2016,Q1,14:40,2016
07-11-2016,Q2,13:15,2016
04-02-2017,Q3,13:45,2017
12-05-2017,Q4,13:10,2017
27-07-2017,Q1,14:26,2017
31-10-2017,Q2,11:26,2017
25-01-2018,Q3,11:55,2018
22-05-2018,Q4,13:06,2018
26-07-2018,Q1,14:55,2018
26-10-2018,Q2,14:50,2018
01-02-2019,Q3,14:43,2019
17-05-2019,Q4,15:00,2019
29-07-2019,Q1,15:54,2019
01-11-2019,Q2,11:25,2019
27-01-2020,Q3,11:52,2020
20-05-2020,Q4,13:25,2020
29-07-2020,Q1,13:21,2020
28-10-2020,Q2,13:25,2020
29-01-2021,Q3,11:29,2021
14-05-2021,Q4,12:26,2021
27-07-2021,Q1,11:23,2021
29-10-2021,Q2,13:53,2021
28-01-2022,Q3,12:35,2022
19-05-2022,Q4,13:09,2022
28-07-2022,Q1,19:30,2022
28-10-2022,Q2,16:24,2022
