Date,Quarter,Time,Year
13-05-2013,Q4,18:27,2013
07-08-2013,Q1,19:37,2013
07-11-2013,Q2,19:39,2013
12-02-2014,Q3,20:31,2014
09-05-2014,Q4,13:39,2014
11-08-2014,Q1,19:55,2014
12-11-2014,Q2,19:07,2014
14-02-2015,Q3,11:27,2015
08-05-2015,Q4,14:51,2015
21-07-2015,Q1,19:03,2015
06-11-2015,Q2,13:31,2015
05-02-2016,Q3,12:28,2016
05-05-2016,Q4,14:25,2016
28-07-2016,Q1,16:18,2016
28-10-2016,Q2,14:43,2016
01-02-2017,Q3,14:21,2017
05-05-2017,Q4,15:38,2017
09-08-2017,Q1,17:40,2017
14-11-2017,Q2,13:37,2017
07-02-2018,Q3,14:44,2018
09-05-2018,Q4,15:49,2018
09-08-2018,Q1,15:38,2018
12-11-2018,Q2,19:15,2018
11-02-2019,Q3,15:00,2019
10-05-2019,Q4,18:14,2019
31-07-2019,Q1,17:40,2019
08-11-2019,Q2,14:25,2019
06-02-2020,Q3,14:17,2020
12-06-2020,Q4,17:36,2020
13-08-2020,Q1,16:46,2020
12-11-2020,Q2,16:56,2020
10-02-2021,Q3,14:41,2021
27-05-2021,Q4,19:43,2021
12-08-2021,Q1,17:07,2021
03-11-2021,Q2,17:46,2021
13-05-2022,Q4,17:57,2022
10-08-2022,Q1,15:59,2022
10-11-2022,Q2,16:12,2022
25-11-2022,Q2,22:08,2022
29-11-2022,Q2,18:02,2022
