Date,Quarter,Time,Year
09-05-2013,Q4,15:24,2013
13-08-2013,Q1,16:14,2013
23-10-2013,Q2,15:47,2013
27-01-2014,Q3,15:27,2014
28-05-2014,Q4,15:51,2014
30-07-2014,Q1,08:47,2014
05-11-2014,Q2,15:39,2014
11-02-2015,Q3,15:03,2015
28-05-2015,Q4,15:35,2015
06-08-2015,Q1,14:14,2015
02-11-2015,Q2,14:47,2015
02-02-2016,Q3,14:38,2016
25-05-2016,Q4,14:21,2016
28-07-2016,Q1,12:43,2016
27-10-2016,Q2,12:13,2016
09-02-2017,Q3,13:15,2017
29-05-2017,Q4,13:43,2017
28-07-2017,Q1,11:36,2017
31-10-2017,Q2,13:15,2017
31-01-2018,Q3,13:28,2018
17-05-2018,Q4,13:50,2018
30-07-2018,Q1,14:22,2018
31-10-2018,Q2,13:28,2018
28-01-2019,Q3,13:14,2019
07-05-2019,Q4,15:03,2019
27-07-2019,Q1,15:53,2019
02-11-2019,Q2,13:41,2019
29-01-2020,Q3,14:46,2020
14-05-2020,Q4,14:17,2020
27-07-2020,Q1,14:53,2020
02-11-2020,Q2,14:53,2020
02-02-2021,Q3,14:23,2021
14-05-2021,Q4,15:02,2021
05-08-2021,Q1,14:23,2021
29-10-2021,Q2,14:21,2021
08-02-2022,Q3,14:44,2022
13-05-2022,Q4,14:22,2022
01-08-2022,Q1,15:45,2022
04-11-2022,Q2,15:11,2022
18-11-2022,Q2,18:02,2022
