Date,Quarter,Time,Year
23-10-2013,Q2,13:03,2013
13-01-2014,Q3,12:43,2014
25-04-2014,Q4,13:43,2014
21-07-2014,Q1,15:55,2014
20-10-2014,Q2,15:11,2014
31-01-2015,Q3,14:03,2015
30-04-2015,Q4,14:51,2015
30-07-2015,Q1,17:57,2015
04-08-2015,Q1,11:32,2015
28-10-2015,Q2,13:55,2015
21-01-2016,Q3,14:09,2016
27-04-2016,Q4,17:17,2016
18-07-2016,Q1,17:23,2016
26-10-2016,Q2,16:04,2016
25-01-2017,Q3,15:27,2017
04-05-2017,Q4,13:48,2017
27-07-2017,Q1,10:29,2017
25-10-2017,Q2,15:58,2017
31-01-2018,Q3,15:16,2018
07-05-2018,Q4,14:54,2018
01-08-2018,Q1,13:06,2018
05-11-2018,Q2,14:30,2018
04-02-2019,Q3,14:57,2019
30-04-2019,Q4,14:16,2019
02-08-2019,Q1,14:19,2019
06-11-2019,Q2,14:20,2019
04-02-2020,Q3,14:20,2020
05-06-2020,Q4,16:28,2020
03-08-2020,Q1,16:22,2020
10-11-2020,Q2,13:47,2020
29-01-2021,Q3,14:26,2021
29-04-2021,Q4,15:46,2021
30-07-2021,Q1,15:09,2021
29-10-2021,Q2,15:31,2021
31-01-2022,Q3,14:20,2022
05-05-2022,Q4,16:33,2022
29-07-2022,Q1,14:46,2022
11-11-2022,Q2,14:06,2022
25-11-2022,Q2,18:11,2022
