Date,Quarter,Time,Year
27-04-2013,Q4,16:26,2013
19-07-2013,Q1,20:44,2013
21-10-2013,Q2,09:43,2013
17-01-2014,Q3,12:11,2014
29-04-2014,Q4,16:15,2014
16-07-2014,Q1,14:39,2014
16-10-2014,Q2,14:15,2014
15-01-2015,Q3,13:51,2015
29-04-2015,Q4,14:51,2015
18-07-2015,Q1,16:02,2015
20-10-2015,Q2,16:32,2015
12-01-2016,Q3,14:03,2016
30-04-2016,Q4,20:22,2016
22-07-2016,Q1,14:24,2016
25-10-2016,Q2,13:32,2016
19-01-2017,Q3,13:06,2017
28-04-2017,Q4,13:15,2017
26-07-2017,Q1,12:51,2017
16-10-2017,Q2,12:36,2017
15-01-2018,Q3,16:14,2018
09-05-2018,Q4,16:26,2018
17-07-2018,Q1,12:37,2018
16-10-2018,Q2,13:02,2018
04-05-2019,Q4,13:19,2019
16-07-2019,Q1,13:34,2019
16-10-2019,Q2,13:15,2019
20-01-2020,Q3,14:06,2020
28-05-2020,Q4,14:35,2020
15-07-2020,Q1,14:40,2020
16-10-2020,Q2,12:55,2020
20-01-2021,Q3,15:29,2021
17-05-2021,Q4,12:46,2021
23-07-2021,Q1,13:37,2021
22-10-2021,Q2,12:59,2021
25-01-2022,Q3,12:47,2022
06-05-2022,Q4,13:44,2022
15-07-2022,Q1,12:28,2022
14-10-2022,Q2,18:11,2022
16-01-2023,Q3,12:30,2023
