Date,Quarter,Time,Year
28-05-2013,Q4,14:52,2013
25-07-2013,Q1,14:58,2013
25-10-2013,Q2,15:23,2013
29-01-2014,Q3,14:55,2014
26-05-2014,Q4,16:39,2014
11-08-2014,Q1,14:55,2014
31-10-2014,Q2,14:23,2014
06-02-2015,Q3,15:43,2015
27-05-2015,Q4,14:51,2015
23-07-2015,Q1,15:47,2015
03-11-2015,Q2,15:49,2015
09-02-2016,Q3,15:04,2016
25-05-2016,Q4,16:52,2016
07-09-2016,Q1,17:26,2016
15-11-2016,Q2,15:32,2016
10-02-2017,Q3,16:38,2017
22-05-2017,Q4,16:01,2017
10-08-2017,Q1,17:28,2017
14-11-2017,Q2,15:57,2017
12-02-2018,Q3,17:36,2018
24-05-2018,Q4,16:43,2018
10-08-2018,Q1,14:22,2018
05-11-2018,Q2,14:10,2018
05-02-2019,Q3,18:09,2019
27-05-2019,Q4,17:06,2019
09-08-2019,Q1,14:34,2019
08-11-2019,Q2,14:21,2019
10-02-2020,Q3,14:12,2020
24-06-2020,Q4,13:07,2020
13-08-2020,Q1,13:54,2020
10-11-2020,Q2,13:57,2020
11-02-2021,Q3,10:50,2021
09-06-2021,Q4,14:13,2021
05-08-2021,Q1,14:38,2021
03-02-2022,Q3,14:28,2022
27-05-2022,Q4,16:11,2022
04-08-2022,Q1,13:29,2022
04-11-2022,Q2,14:13,2022
18-11-2022,Q2,15:46,2022
