Date,Quarter,Time,Year
07-05-2013,Q4,18:41,2013
01-08-2013,Q1,16:49,2013
31-10-2013,Q2,17:43,2013
24-01-2014,Q3,16:51,2014
08-05-2014,Q4,17:39,2014
24-07-2014,Q1,16:39,2014
30-10-2014,Q2,16:59,2014
12-02-2015,Q3,17:31,2015
29-05-2015,Q4,20:35,2015
30-07-2015,Q1,16:56,2015
29-10-2015,Q2,16:35,2015
28-01-2016,Q3,16:42,2016
12-05-2016,Q4,17:56,2016
12-08-2016,Q1,11:22,2016
27-10-2016,Q2,16:11,2016
02-02-2017,Q3,15:58,2017
11-05-2017,Q4,19:07,2017
27-07-2017,Q1,16:16,2017
02-11-2017,Q2,18:06,2017
08-02-2018,Q3,15:57,2018
29-05-2018,Q4,19:11,2018
10-08-2018,Q1,18:34,2018
13-11-2018,Q2,19:53,2018
14-02-2019,Q3,17:15,2019
29-05-2019,Q4,21:37,2019
13-08-2019,Q1,18:54,2019
14-11-2019,Q2,18:35,2019
14-02-2020,Q3,19:08,2020
26-06-2020,Q4,21:01,2020
14-08-2020,Q1,21:19,2020
06-11-2020,Q2,21:00,2020
12-02-2021,Q3,21:41,2021
28-05-2021,Q4,22:24,2021
13-08-2021,Q1,21:37,2021
12-11-2021,Q2,22:07,2021
27-05-2022,Q4,23:02,2022
10-08-2022,Q1,18:39,2022
11-11-2022,Q2,18:47,2022
25-11-2022,Q2,21:52,2022
