Date,Quarter,Time,Year
14-08-2013,Q1,09:09,2013
13-11-2013,Q2,09:39,2013
12-02-2014,Q3,09:59,2014
30-05-2014,Q4,08:47,2014
14-08-2014,Q1,08:15,2014
15-11-2014,Q2,12:03,2014
14-02-2015,Q3,20:39,2015
01-06-2015,Q4,08:43,2015
14-08-2015,Q1,08:45,2015
14-11-2015,Q2,10:48,2015
10-02-2016,Q3,22:23,2016
31-05-2016,Q4,11:29,2016
15-09-2016,Q1,18:11,2016
07-12-2016,Q2,23:38,2016
13-02-2017,Q3,19:01,2017
02-06-2017,Q4,10:54,2017
12-08-2017,Q1,23:53,2017
15-11-2017,Q2,08:10,2017
14-02-2018,Q3,03:01,2018
31-05-2018,Q4,08:53,2018
15-08-2018,Q1,00:07,2018
15-11-2018,Q2,00:13,2018
14-02-2019,Q3,23:30,2019
30-05-2019,Q4,00:04,2019
14-08-2019,Q1,19:46,2019
14-11-2019,Q2,22:37,2019
13-02-2020,Q3,20:13,2020
30-07-2020,Q1,19:08,2020
27-08-2020,Q1,15:40,2020
10-11-2020,Q2,21:31,2020
12-02-2021,Q3,16:50,2021
18-06-2021,Q4,20:15,2021
13-08-2021,Q1,19:45,2021
12-11-2021,Q2,18:57,2021
09-02-2022,Q3,17:44,2022
17-05-2022,Q4,21:23,2022
29-07-2022,Q1,18:27,2022
14-11-2022,Q2,18:18,2022
28-11-2022,Q2,21:49,2022
