Date,Quarter,Time,Year
30-04-2013,Q4,12:33,2013
03-08-2013,Q1,11:45,2013
11-11-2013,Q2,11:51,2013
01-02-2014,Q3,12:35,2014
28-04-2014,Q4,12:07,2014
28-07-2014,Q1,11:59,2014
03-11-2014,Q2,08:15,2014
05-02-2015,Q3,12:23,2015
28-04-2015,Q4,12:55,2015
29-07-2015,Q1,11:58,2015
24-10-2015,Q2,16:31,2015
27-01-2016,Q3,11:18,2016
03-05-2016,Q4,12:22,2016
29-07-2016,Q1,12:12,2016
07-11-2016,Q2,11:51,2016
30-01-2017,Q3,12:24,2017
09-05-2017,Q4,12:01,2017
31-07-2017,Q1,10:57,2017
01-11-2017,Q2,12:13,2017
30-01-2018,Q3,16:06,2018
08-05-2018,Q4,12:32,2018
30-07-2018,Q1,12:16,2018
02-11-2018,Q2,13:11,2018
29-01-2019,Q3,15:33,2019
03-05-2019,Q4,13:16,2019
01-08-2019,Q1,12:23,2019
06-11-2019,Q2,12:47,2019
29-01-2020,Q3,15:20,2020
13-05-2020,Q4,15:36,2020
04-08-2020,Q1,15:17,2020
05-11-2020,Q2,15:00,2020
08-02-2021,Q3,14:34,2021
11-05-2021,Q4,15:41,2021
04-08-2021,Q1,14:46,2021
11-11-2021,Q2,14:47,2021
08-02-2022,Q3,13:32,2022
20-05-2022,Q4,12:17,2022
03-08-2022,Q1,12:59,2022
08-11-2022,Q2,15:27,2022
23-11-2022,Q2,13:12,2022
