Date,Quarter,Time,Year
25-04-2013,Q4,14:44,2013
25-07-2013,Q1,11:10,2013
30-10-2013,Q2,15:55,2013
28-01-2014,Q3,12:35,2014
25-04-2014,Q4,09:59,2014
24-07-2014,Q1,14:23,2014
30-10-2014,Q2,13:47,2014
28-01-2015,Q3,14:59,2015
27-04-2015,Q4,15:15,2015
23-07-2015,Q1,14:30,2015
31-10-2015,Q2,15:45,2015
28-01-2016,Q3,13:06,2016
28-04-2016,Q4,19:16,2016
11-08-2016,Q1,12:48,2016
25-10-2016,Q2,13:21,2016
28-01-2017,Q3,17:39,2017
11-05-2017,Q4,14:34,2017
14-08-2017,Q1,17:40,2017
09-11-2017,Q2,12:47,2017
08-02-2018,Q3,13:50,2018
24-05-2018,Q4,14:56,2018
23-07-2018,Q1,18:48,2018
29-10-2018,Q2,18:09,2018
11-05-2021,Q4,13:25,2021
27-07-2021,Q1,17:14,2021
12-11-2021,Q2,17:18,2021
08-02-2022,Q3,13:49,2022
18-05-2022,Q4,16:29,2022
20-10-2022,Q2,12:52,2022
