Date,Quarter,Time,Year
02-05-2014,Q4,18:47,2014
04-08-2014,Q1,08:31,2014
29-10-2014,Q2,13:27,2014
31-01-2015,Q3,13:23,2015
02-05-2015,Q4,18:23,2015
07-08-2015,Q1,13:16,2015
29-10-2015,Q2,17:02,2015
30-01-2016,Q3,15:39,2016
07-05-2016,Q4,15:05,2016
13-05-2016,Q4,18:44,2016
12-08-2016,Q1,10:05,2016
28-10-2016,Q2,13:00,2016
30-01-2017,Q3,13:22,2017
19-05-2017,Q4,14:49,2017
14-08-2017,Q1,14:18,2017
14-11-2017,Q2,13:47,2017
14-02-2018,Q3,14:12,2018
23-05-2018,Q4,14:29,2018
14-08-2018,Q1,14:10,2018
14-11-2018,Q2,19:15,2018
07-02-2019,Q3,14:51,2019
24-05-2019,Q4,15:47,2019
14-08-2019,Q1,14:34,2019
14-11-2019,Q2,14:54,2019
10-02-2020,Q3,13:52,2020
13-06-2020,Q4,16:06,2020
13-08-2020,Q1,14:55,2020
12-11-2020,Q2,16:33,2020
12-02-2021,Q3,14:10,2021
24-05-2021,Q4,15:40,2021
13-08-2021,Q1,14:11,2021
12-11-2021,Q2,18:41,2021
24-05-2022,Q4,15:37,2022
12-08-2022,Q1,13:45,2022
14-11-2022,Q2,18:49,2022
