Date,Quarter,Time,Year
28-05-2013,Q4,14:22,2013
30-07-2013,Q1,12:00,2013
30-10-2013,Q2,11:39,2013
29-01-2014,Q3,12:27,2014
28-05-2014,Q4,13:15,2014
28-07-2014,Q1,12:03,2014
22-10-2014,Q2,13:27,2014
28-01-2015,Q3,15:19,2015
11-05-2015,Q4,13:43,2015
25-07-2015,Q1,13:40,2015
09-11-2015,Q2,12:49,2015
27-01-2016,Q3,13:43,2016
11-05-2016,Q4,14:06,2016
23-07-2016,Q1,15:51,2016
18-10-2016,Q2,16:05,2016
17-01-2017,Q3,13:56,2017
11-05-2017,Q4,12:31,2017
19-07-2017,Q1,13:02,2017
23-10-2017,Q2,13:15,2017
22-01-2018,Q3,14:01,2018
11-05-2018,Q4,13:22,2018
20-07-2018,Q1,15:27,2018
17-10-2018,Q2,16:10,2018
22-01-2019,Q3,13:15,2019
29-05-2019,Q4,12:00,2019
27-07-2019,Q1,13:26,2019
23-10-2019,Q2,14:54,2019
21-01-2020,Q3,17:16,2020
12-05-2020,Q4,16:46,2020
27-07-2020,Q1,13:54,2020
29-10-2020,Q2,14:14,2020
20-01-2021,Q3,16:40,2021
20-05-2021,Q4,17:12,2021
21-07-2021,Q1,14:37,2021
20-10-2021,Q2,17:18,2021
20-01-2022,Q3,17:35,2022
04-05-2022,Q4,18:10,2022
20-07-2022,Q1,17:34,2022
19-10-2022,Q2,17:40,2022
21-10-2022,Q2,11:42,2022
19-01-2023,Q3,14:31,2023
