Date,Quarter,Time,Year
31-07-2013,Q1,08:23,2013
17-10-2013,Q2,08:27,2013
16-01-2014,Q3,08:35,2014
17-04-2014,Q4,08:31,2014
31-07-2014,Q1,08:23,2014
17-10-2014,Q2,08:39,2014
30-01-2015,Q3,09:07,2015
21-04-2015,Q4,08:31,2015
03-08-2015,Q1,08:32,2015
19-10-2015,Q2,08:26,2015
19-01-2016,Q3,08:26,2016
28-04-2016,Q4,09:01,2016
03-08-2016,Q1,08:21,2016
21-10-2016,Q2,08:13,2016
24-01-2017,Q3,08:16,2017
11-05-2017,Q4,08:28,2017
27-07-2017,Q1,08:22,2017
25-10-2017,Q2,08:22,2017
19-01-2018,Q3,08:21,2018
02-05-2018,Q4,11:58,2018
27-07-2018,Q1,16:05,2018
23-10-2018,Q2,16:35,2018
29-01-2019,Q3,16:24,2019
09-05-2019,Q4,20:54,2019
07-08-2019,Q1,16:05,2019
23-10-2019,Q2,16:37,2019
17-01-2020,Q3,16:05,2020
07-05-2020,Q4,08:55,2020
17-07-2020,Q1,08:51,2020
16-10-2020,Q2,09:42,2020
15-01-2021,Q3,12:21,2021
23-04-2021,Q4,17:31,2021
19-07-2021,Q1,17:37,2021
14-10-2021,Q2,19:00,2021
14-01-2022,Q3,18:13,2022
21-04-2022,Q4,17:45,2022
12-07-2022,Q1,18:00,2022
12-10-2022,Q2,16:18,2022
27-10-2022,Q2,17:27,2022
12-01-2023,Q3,17:34,2023
