Date,Quarter,Time,Year
19-07-2013,Q1,14:22,2013
21-10-2013,Q2,13:47,2013
22-01-2014,Q3,13:23,2014
06-05-2014,Q4,13:43,2014
21-07-2014,Q1,14:47,2014
22-10-2014,Q2,13:43,2014
29-01-2015,Q3,13:35,2015
14-02-2015,Q3,12:43,2015
29-04-2015,Q4,14:27,2015
28-07-2015,Q1,14:22,2015
26-10-2015,Q2,13:50,2015
27-01-2016,Q3,17:10,2016
02-05-2016,Q4,13:53,2016
27-07-2016,Q1,14:51,2016
26-10-2016,Q2,14:42,2016
30-01-2017,Q3,12:29,2017
04-05-2017,Q4,14:33,2017
26-07-2017,Q1,14:21,2017
30-10-2017,Q2,13:25,2017
29-01-2018,Q3,13:55,2018
30-04-2018,Q4,15:06,2018
30-07-2018,Q1,14:26,2018
01-11-2018,Q2,14:39,2018
29-01-2019,Q3,14:04,2019
13-05-2019,Q4,12:20,2019
02-08-2019,Q1,13:59,2019
27-01-2020,Q3,16:17,2020
25-05-2020,Q4,14:41,2020
30-07-2020,Q1,13:53,2020
02-11-2020,Q2,14:24,2020
02-02-2021,Q3,14:31,2021
07-05-2021,Q4,13:47,2021
02-08-2021,Q1,11:24,2021
01-11-2021,Q2,14:34,2021
02-02-2022,Q3,13:29,2022
02-05-2022,Q4,14:07,2022
29-07-2022,Q1,14:05,2022
03-11-2022,Q2,14:19,2022
