Date,Quarter,Time,Year
17-07-2013,Q1,14:27,2013
15-10-2013,Q2,14:11,2013
17-01-2014,Q3,13:47,2014
22-04-2014,Q4,14:27,2014
21-07-2014,Q1,10:47,2014
21-10-2014,Q2,13:03,2014
14-02-2015,Q3,11:39,2015
23-04-2015,Q4,14:47,2015
21-07-2015,Q1,11:34,2015
21-10-2015,Q2,12:32,2015
25-01-2016,Q3,14:09,2016
22-04-2016,Q4,13:23,2016
21-07-2016,Q1,11:51,2016
25-10-2016,Q2,12:38,2016
24-01-2017,Q3,12:27,2017
21-04-2017,Q4,13:13,2017
24-07-2017,Q1,12:22,2017
24-10-2017,Q2,12:38,2017
19-01-2018,Q3,11:57,2018
21-04-2018,Q4,17:06,2018
21-07-2018,Q1,15:08,2018
20-10-2018,Q2,15:47,2018
19-01-2019,Q3,16:26,2019
20-04-2019,Q4,15:31,2019
22-07-2019,Q1,10:13,2019
19-10-2019,Q2,16:25,2019
18-01-2020,Q3,15:27,2020
18-04-2020,Q4,14:31,2020
18-07-2020,Q1,12:40,2020
17-10-2020,Q2,16:19,2020
16-01-2021,Q3,16:46,2021
17-04-2021,Q4,14:32,2021
17-07-2021,Q1,12:53,2021
16-10-2021,Q2,14:50,2021
16-04-2022,Q4,14:27,2022
16-07-2022,Q1,13:34,2022
15-10-2022,Q2,13:49,2022
14-01-2023,Q3,13:01,2023
