Date,Quarter,Time,Year
19-01-2018,Q3,18:04,2018
18-04-2018,Q4,17:19,2018
20-07-2018,Q1,12:46,2018
23-10-2018,Q2,16:09,2018
22-01-2019,Q3,16:33,2019
26-04-2019,Q4,13:51,2019
23-07-2019,Q1,15:08,2019
23-10-2019,Q2,13:39,2019
24-01-2020,Q3,19:09,2020
27-04-2020,Q4,16:19,2020
21-07-2020,Q1,14:15,2020
19-10-2020,Q2,15:51,2020
22-01-2021,Q3,15:41,2021
26-04-2021,Q4,17:59,2021
19-07-2021,Q1,14:14,2021
22-10-2021,Q2,13:52,2021
21-01-2022,Q3,14:12,2022
26-04-2022,Q4,22:55,2022
19-07-2022,Q1,13:41,2022
21-10-2022,Q2,13:44,2022
09-11-2022,Q2,18:03,2022
20-01-2023,Q3,13:47,2023
