Date,Quarter,Time,Year
26-04-2013,Q4,15:45,2013
24-07-2013,Q1,16:01,2013
23-10-2013,Q2,15:27,2013
30-01-2014,Q3,17:03,2014
28-05-2014,Q4,18:51,2014
05-08-2014,Q1,16:15,2014
16-10-2014,Q2,19:03,2014
03-02-2015,Q3,18:23,2015
07-05-2015,Q4,16:43,2015
03-08-2015,Q1,19:24,2015
20-10-2015,Q2,17:22,2015
11-02-2016,Q3,15:29,2016
05-05-2016,Q4,17:37,2016
08-08-2016,Q1,12:54,2016
26-10-2016,Q2,17:40,2016
08-02-2017,Q3,20:27,2017
10-05-2017,Q4,18:45,2017
25-07-2017,Q1,17:01,2017
01-11-2017,Q2,17:01,2017
06-02-2018,Q3,16:39,2018
02-05-2018,Q4,14:21,2018
25-07-2018,Q1,17:47,2018
16-10-2018,Q2,17:16,2018
31-01-2019,Q3,17:46,2019
26-04-2019,Q4,17:56,2019
30-07-2019,Q1,17:22,2019
23-10-2019,Q2,17:16,2019
06-02-2020,Q3,17:42,2020
09-06-2020,Q4,20:26,2020
13-08-2020,Q1,21:11,2020
28-10-2020,Q2,21:01,2020
04-02-2021,Q3,22:21,2021
06-05-2021,Q4,20:41,2021
12-08-2021,Q1,18:34,2021
12-11-2021,Q2,20:56,2021
10-02-2022,Q3,21:54,2022
03-05-2022,Q4,21:28,2022
12-08-2022,Q1,17:39,2022
03-11-2022,Q2,18:03,2022
17-11-2022,Q2,16:08,2022
