Date,Quarter,Time,Year
13-08-2013,Q1,14:37,2013
12-11-2013,Q2,14:23,2013
13-02-2014,Q3,15:03,2014
29-05-2014,Q4,14:11,2014
14-08-2014,Q1,13:59,2014
13-11-2014,Q2,13:39,2014
12-02-2015,Q3,13:35,2015
28-05-2015,Q4,14:43,2015
14-08-2015,Q1,13:46,2015
10-11-2015,Q2,13:53,2015
09-02-2016,Q3,15:03,2016
28-05-2016,Q4,14:34,2016
12-08-2016,Q1,13:17,2016
12-11-2016,Q2,13:58,2016
13-02-2017,Q3,13:44,2017
30-05-2017,Q4,14:46,2017
11-08-2017,Q1,13:39,2017
03-11-2017,Q2,13:46,2017
02-02-2018,Q3,13:32,2018
16-05-2018,Q4,13:39,2018
10-08-2018,Q1,14:05,2018
02-11-2018,Q2,13:53,2018
12-02-2019,Q3,16:42,2019
16-05-2019,Q4,17:00,2019
09-08-2019,Q1,16:47,2019
11-11-2019,Q2,15:56,2019
13-02-2020,Q3,13:09,2020
12-06-2020,Q4,15:33,2020
14-08-2020,Q1,13:56,2020
10-11-2020,Q2,13:36,2020
10-02-2021,Q3,13:50,2021
21-05-2021,Q4,14:44,2021
06-08-2021,Q1,14:19,2021
12-11-2021,Q2,14:35,2021
10-02-2022,Q3,14:21,2022
27-05-2022,Q4,11:23,2022
10-08-2022,Q1,13:25,2022
11-11-2022,Q2,23:23,2022
