Date,Quarter,Time,Year
28-05-2013,Q4,16:14,2013
12-08-2013,Q1,18:37,2013
12-11-2013,Q2,10:39,2013
11-02-2014,Q3,17:35,2014
28-05-2014,Q4,17:03,2014
11-08-2014,Q1,17:43,2014
13-11-2014,Q2,17:07,2014
13-02-2015,Q3,17:03,2015
28-05-2015,Q4,17:43,2015
11-08-2015,Q1,19:10,2015
09-11-2015,Q2,16:11,2015
12-02-2016,Q3,17:00,2016
27-05-2016,Q4,13:58,2016
22-08-2016,Q1,17:35,2016
15-11-2016,Q2,12:49,2016
13-02-2017,Q3,18:35,2017
29-05-2017,Q4,11:38,2017
04-08-2017,Q1,14:35,2017
09-11-2017,Q2,14:12,2017
09-02-2018,Q3,14:04,2018
22-05-2018,Q4,18:04,2018
08-08-2018,Q1,16:30,2018
01-11-2018,Q2,17:25,2018
05-02-2019,Q3,17:05,2019
20-05-2019,Q4,18:46,2019
07-08-2019,Q1,17:37,2019
07-11-2019,Q2,13:57,2019
05-02-2020,Q3,18:17,2020
16-06-2020,Q4,18:51,2020
06-08-2020,Q1,16:56,2020
04-11-2020,Q2,16:47,2020
04-02-2021,Q3,13:02,2021
20-05-2021,Q4,17:38,2021
04-08-2021,Q1,17:27,2021
02-11-2021,Q2,13:19,2021
31-01-2022,Q3,17:48,2022
19-05-2022,Q4,17:22,2022
06-08-2022,Q1,14:42,2022
03-11-2022,Q2,19:29,2022
