Date,Quarter,Time,Year
29-04-2013,Q4,13:49,2013
26-07-2013,Q1,12:46,2013
28-10-2013,Q2,09:59,2013
27-01-2014,Q3,15:07,2014
28-04-2014,Q4,15:07,2014
28-07-2014,Q1,14:15,2014
27-10-2014,Q2,14:35,2014
19-01-2015,Q3,14:51,2015
08-05-2015,Q4,14:23,2015
21-07-2015,Q1,14:07,2015
14-10-2015,Q2,14:50,2015
15-01-2016,Q3,14:43,2016
09-05-2016,Q4,14:33,2016
18-07-2016,Q1,15:20,2016
26-10-2016,Q2,15:36,2016
23-01-2017,Q3,15:49,2017
17-05-2017,Q4,15:55,2017
18-07-2017,Q1,15:33,2017
25-10-2017,Q2,15:54,2017
17-01-2018,Q3,16:00,2018
14-05-2018,Q4,19:00,2018
16-07-2018,Q1,15:38,2018
12-10-2018,Q2,15:51,2018
17-01-2019,Q3,15:49,2019
03-05-2019,Q4,16:16,2019
23-07-2019,Q1,15:47,2019
14-10-2019,Q2,16:15,2019
31-01-2020,Q3,15:45,2020
30-04-2020,Q4,16:41,2020
21-07-2020,Q1,16:43,2020
20-10-2020,Q2,15:01,2020
27-01-2021,Q3,16:55,2021
29-04-2021,Q4,13:32,2021
22-07-2021,Q1,13:23,2021
19-10-2021,Q2,14:01,2021
20-01-2022,Q3,16:29,2022
28-04-2022,Q4,10:42,2022
19-07-2022,Q1,16:56,2022
21-10-2022,Q2,17:06,2022
19-01-2023,Q3,16:04,2023
