date,Symbol,title
2018-01-15,['FEDERALBNK'],Results on 15 Jan 2018
2018-01-16,['TV18BRDCST'],Results on 16 Jan 2018
2018-01-17,"['INFRATEL', 'ZEEL', 'MINDTREE', 'ADANIPOWER', 'HINDUNILVR', 'DCBBANK', 'SREINFRA']",Results on 17 Jan 2018
2018-01-18,"['ULTRACEMCO', 'BHARTIARTL', 'ADANIENT', 'ADANIPORTS', 'YESBANK', 'HINDZINC']",Results on 18 Jan 2018
2018-01-19,"['HDFCBANK', 'ITC', 'KOTAKBANK', 'NIITTECH', 'WIPRO', 'HCLTECH', 'ICICIPRULI', 'IDFCBANK', 'JPASSOCIAT', 'TATAELXSI', 'JUBLFOOD', 'PCJEWELLER', 'RELIANCE']",Results on 19 Jan 2018
2018-01-20,['CHENNPETRO'],Results on 20 Jan 2018
2018-01-22,"['ASIANPAINT', 'HAVELLS', 'VGUARD', 'JUSTDIAL', 'AXISBANK', 'DHFL']",Results on 22 Jan 2018
2018-01-23,"['IBULHSGFIN', 'RBLBANK', 'CANFINHOME', 'MCDOWELL-N', 'CHENNPETRO']",Results on 23 Jan 2018
2018-01-24,"['CANBK', 'PIDILITIND', 'BIOCON', 'CAPF', 'IDEA', 'RAYMOND', 'CONCOR', 'KPIT', 'INDIGO', 'M&MFIN']",Results on 24 Jan 2018
2018-01-25,"['UPL', 'DRREDDY', 'MARUTI', 'L&TFH', 'LICHSGFIN', 'AJANTPHARM', 'JINDALSTEL']",Results on 25 Jan 2018
2018-01-27,"['SRTRANSFIN', 'DIVISLAB']",Results on 27 Jan 2018
2018-01-29,"['RCOM', 'IDFC', 'WOCKPHARMA', 'TECHM', 'HDFC', 'CENTURYTEX']",Results on 29 Jan 2018
2018-01-30,"['TVSMOTOR', 'CHOLAFIN', 'IOC', 'RNAVAL', 'JISLJALEQS', 'BHARATFIN', 'GODREJCP', 'ENGINERSIN', 'RPOWER', 'PEL', 'BEL']",Results on 30 Jan 2018
2018-01-31,"['EQUITAS', 'ARVIND', 'EXIDEIND', 'KAJARIACER', 'PETRONET', 'PVR', 'NTPC', 'JSWSTEEL', 'RELINFRA', 'VEDL', 'ICICIBANK', 'DABUR', 'HCC', 'LT', 'ESCORTS']",Results on 31 Jan 2018
2018-02-01,"['CEATLTD', 'BAJFINANCE', 'MRF', 'BAJAJFINSV', 'CUMMINSIND', 'ASHOKLEY', 'TITAN', 'POWERGRID']",Results on 01 Feb 2018
2018-02-02,"['MRPL', 'TATAGLOBAL', 'UBL', 'BAJAJ-AUTO', 'HINDALCO']",Results on 02 Feb 2018
2018-02-03,['UNIONBANK'],Results on 03 Feb 2018
2018-02-05,"['TATAMTRDVR', 'BOSCHLTD', 'UJJIVAN', 'COLPAL', 'IFCI', 'TATAMOTORS']",Results on 05 Feb 2018
2018-02-06,"['RECLTD', 'LUPIN', 'OFSS', 'APOLLOTYRE', 'DISHTV', 'CASTROLIND', 'GSFC', 'HEROMOTOCO', 'SIEMENS', 'RAMCOCEM', 'TATACHEM', 'BERGEPAINT']",Results on 06 Feb 2018
2018-02-07,"['KSCL', 'EICHERMOT', 'SRF', 'CIPLA', 'BEML', 'TORNTPOWER', 'HEXAWARE', 'DALMIABHA', 'IGL', 'AUROPHARMA', 'VOLTAS']",Results on 07 Feb 2018
2018-02-08,"['CADILAHC', 'CESC', 'MANAPPURAM', 'TORNTPHARM', 'ANDHRABANK', 'PETRONET', 'PAGEIND', 'BHEL', 'GLENMARK', 'ACC', 'SAIL', 'BHARATFORG', 'BALRAMCHIN']",Results on 08 Feb 2018
2018-02-09,"['M&M', 'MFSL', 'MGL', 'BANKBARODA', 'SBIN', 'MARICO', 'BATAINDIA', 'OIL', 'NATIONALUM', 'INDIACEM', 'TATASTEEL', 'HINDPETRO']",Results on 09 Feb 2018
2018-02-10,"['AMARAJABAT', 'PTC']",Results on 10 Feb 2018
2018-02-12,"['CGPOWER', 'BRITANNIA', 'GSFC', 'GAIL', 'INDIANB', 'PFC', 'BANKINDIA', 'NHPC']",Results on 12 Feb 2018
2018-02-13,"['NMDC', 'MOTHERSUMI', 'NBCC', 'DLF', 'GMRINFRA', 'FORTIS', 'GODFRYPHLP']",Results on 13 Feb 2018
2018-02-14,"['APOLLOHOSP', 'HDIL', 'INFIBEAM', 'REPCOHOME', 'SUNPHARMA', 'BALKRISIND', 'JETAIRWAYS', 'ALBK', 'GODREJIND', 'GRASIM', 'NCC', 'TATAPOWER']",Results on 14 Feb 2018
2018-02-20,['AMBUJACEM'],Results on 20 Feb 2018
2018-04-13,['INFY'],Results on 13 Apr 2018
2018-04-14,['DCBBANK'],Results on 14 Apr 2018
2018-04-18,"['MINDTREE', 'ACC']",Results on 18 Apr 2018
2018-04-19,"['TCS', 'INDUSINDBK', 'RPOWER']",Results on 19 Apr 2018
2018-04-20,['IBULHSGFIN'],Results on 20 Apr 2018
2018-04-21,['HDFCBANK'],Results on 21 Apr 2018
2018-04-23,"['INFRATEL', 'CHOLAFIN', 'RELINFRA', 'RNAVAL', 'BHARATFIN', 'LICHSGFIN']",Results on 23 Apr 2018
2018-04-24,"['BHARTIARTL', 'TV18BRDCST', 'RAYMOND', 'ICICIPRULI', 'IDFCBANK']",Results on 24 Apr 2018
2018-04-25,"['ULTRACEMCO', 'WIPRO', 'M&MFIN']",Results on 25 Apr 2018
2018-04-26,"['BIOCON', 'RELCAPITAL', 'AXISBANK', 'YESBANK', 'TATAELXSI']",Results on 26 Apr 2018
2018-04-27,"['UPL', 'EQUITAS', 'SRTRANSFIN', 'MARUTI', 'RBLBANK', 'IDFC', 'HINDPETRO', 'RELIANCE']",Results on 27 Apr 2018
2018-04-28,"['SHREECEM', 'CANFINHOME', 'IDEA', 'SREINFRA']",Results on 28 Apr 2018
2018-04-30,"['CEATLTD', 'KOTAKBANK', 'DHFL', 'CONCOR', 'HDFC', 'HINDZINC']",Results on 30 Apr 2018
2018-05-01,['DABUR'],Results on 01 May 2018
2018-05-02,"['HCLTECH', 'AJANTPHARM', 'HEROMOTOCO', 'SIEMENS', 'MARICO', 'TATAPOWER', 'INDIGO', 'CENTURYTEX']",Results on 02 May 2018
2018-05-03,"['JSWENERGY', 'IRB', 'CASTROLIND', 'L&TFH', 'MRF', 'VEDL', 'HEXAWARE', 'ADANIPOWER', 'HCC', 'ADANIPORTS']",Results on 03 May 2018
2018-05-04,"['ICIL', 'PVR', 'NIITTECH', 'AMBUJACEM', 'WOCKPHARMA', 'CAPF']",Results on 04 May 2018
2018-05-07,"['EXIDEIND', 'ICICIBANK', 'TATACHEM']",Results on 07 May 2018
2018-05-08,"['KAJARIACER', 'GODREJCP', 'JUBLFOOD']",Results on 08 May 2018
2018-05-09,"['ARVIND', 'EICHERMOT', 'ORIENTBANK', 'FEDERALBNK', 'JINDALSTEL']",Results on 09 May 2018
2018-05-10,"['ZEEL', 'ASIANPAINT', 'APOLLOTYRE', 'UNIONBANK', 'UJJIVAN', 'ADANIENT', 'INDIANB', 'TITAN', 'TATACOMM', 'CHENNPETRO']",Results on 10 May 2018
2018-05-11,"['SUNTV', 'CANBK', 'OFSS', 'HAVELLS', 'ALBK', 'TATAGLOBAL']",Results on 11 May 2018
2018-05-14,"['SOUTHBANK', 'HINDUNILVR']",Results on 14 May 2018
2018-05-15,"['MRPL', 'LUPIN', 'RCOM', 'BRITANNIA', 'SYNDIBANK', 'PNB', 'KTKBANK']",Results on 15 May 2018
2018-05-16,"['TVSMOTOR', 'MUTHOOTFIN', 'ITC', 'JSWSTEEL', 'GSFC', 'AXISBANK', 'PTC', 'HINDALCO']",Results on 16 May 2018
2018-05-17,"['SRF', 'BALKRISIND', 'BAJFINANCE', 'BAJAJFINSV', 'ESCORTS', 'VOLTAS']",Results on 17 May 2018
2018-05-18,"['AMARAJABAT', 'MANAPPURAM', 'STAR', 'DALMIABHA', 'ASHOKLEY', 'BAJAJ-AUTO']",Results on 18 May 2018
2018-05-19,"['RCOM', 'JPASSOCIAT', 'BALRAMCHIN']",Results on 19 May 2018
2018-05-21,"['PETRONET', 'DLF', 'MGL', 'JUSTDIAL', 'COLPAL']",Results on 21 May 2018
2018-05-22,"['DRREDDY', 'ANDHRABANK', 'BOSCHLTD', 'CIPLA', 'IOC', 'SBIN', 'BATAINDIA', 'BHARATFORG', 'HINDPETRO']",Results on 22 May 2018
2018-05-23,"['CESC', 'TATAMTRDVR', 'MOTHERSUMI', 'REPCOHOME', 'JETAIRWAYS', 'GODREJIND', 'JISLJALEQS', 'GRASIM', 'IFCI', 'KPIT', 'IGL', 'RAMCOCEM', 'TATAMOTORS']",Results on 23 May 2018
2018-05-24,"['KSCL', 'GRANULES', 'PIDILITIND', 'GAIL', 'NCC', 'UBL', 'CUMMINSIND', 'MCDOWELL-N']",Results on 24 May 2018
2018-05-25,"['CADILAHC', 'SUNPHARMA', 'PAGEIND', 'MFSL', 'NBCC', 'BEML', 'BANKBARODA', 'ENGINERSIN', 'PFC', 'TECHM', 'IDBI', 'PCJEWELLER', 'INDIACEM']",Results on 25 May 2018
2018-05-26,"['DIVISLAB', 'NATIONALUM']",Results on 26 May 2018
2018-05-28,"['NMDC', 'RECLTD', 'NTPC', 'BANKINDIA', 'NHPC', 'PEL', 'LT', 'AUROPHARMA', 'OIL']",Results on 28 May 2018
2018-05-29,"['M&M', 'BHEL', 'TORNTPOWER', 'DISHTV', 'GLENMARK', 'COALINDIA', 'POWERGRID', 'BEL', 'BPCL', 'GODFRYPHLP']",Results on 29 May 2018
2018-05-30,"['APOLLOHOSP', 'HDIL', 'SUZLON', 'CANBK', 'TORNTPHARM', 'INFIBEAM', 'CGPOWER', 'ONGC', 'VGUARD', 'GMRINFRA', 'SAIL', 'FORTIS', 'BERGEPAINT']",Results on 30 May 2018
2018-06-11,['FORTIS'],Results on 11 Jun 2018
2018-06-25,['FORTIS'],Results on 25 Jun 2018
2018-07-09,['DISHTV'],Results on 09 Jul 2018
2018-07-10,"['TCS', 'INDUSINDBK']",Results on 10 Jul 2018
2018-07-12,['KTKBANK'],Results on 12 Jul 2018
2018-07-13,['INFY'],Results on 13 Jul 2018
2018-07-14,['DCBBANK'],Results on 14 Jul 2018
2018-07-16,['HINDUNILVR'],Results on 16 Jul 2018
2018-07-17,"['ZEEL', 'FEDERALBNK', 'ASHOKLEY']",Results on 17 Jul 2018
2018-07-18,"['ULTRACEMCO', 'NIITTECH', 'RCOM', 'MINDTREE']",Results on 18 Jul 2018
2018-07-19,"['KOTAKBANK', 'BAJFINANCE', 'RBLBANK', 'BAJAJFINSV']",Results on 19 Jul 2018
2018-07-20,"['CEATLTD', 'HAVELLS', 'WIPRO', 'L&TFH', 'JUSTDIAL', 'BATAINDIA', 'BAJAJ-AUTO']",Results on 20 Jul 2018
2018-07-21,"['HDFCBANK', 'SOUTHBANK', 'RNAVAL', 'RPOWER']",Results on 21 Jul 2018
2018-07-23,"['GRANULES', 'ACC', 'MCDOWELL-N', 'HINDZINC']",Results on 23 Jul 2018
2018-07-24,"['KAJARIACER', 'TV18BRDCST', 'ASIANPAINT', 'HEXAWARE', 'ICICIPRULI']",Results on 24 Jul 2018
2018-07-25,"['CANBK', 'INFRATEL', 'BHEL', 'PVR', 'AMBUJACEM', 'IRB', 'JSWSTEEL', 'ORIENTBANK', 'HEROMOTOCO', 'KPIT', 'LT', 'TATAELXSI', 'JUBLFOOD']",Results on 25 Jul 2018
2018-07-26,"['DRREDDY', 'CESC', 'SRTRANSFIN', 'BHARTIARTL', 'ITC', 'PETRONET', 'CHOLAFIN', 'MARUTI', 'BIOCON', 'BHARATFIN', 'COLPAL', 'CONCOR', 'YESBANK', 'TATAPOWER']",Results on 26 Jul 2018
2018-07-27,"['JSWENERGY', 'EQUITAS', 'BANKBARODA', 'HCLTECH', 'ICICIBANK', 'M&MFIN', 'RELIANCE']",Results on 27 Jul 2018
2018-07-28,['NTPC'],Results on 28 Jul 2018
2018-07-30,"['SHREECEM', 'IDFC', 'CANFINHOME', 'IDEA', 'GODREJCP', 'TECHM', 'AXISBANK', 'IDFCBANK', 'PEL', 'HDFC', 'JPASSOCIAT', 'INDIGO', 'ESCORTS', 'CENTURYTEX', 'CHENNPETRO']",Results on 30 Jul 2018
2018-07-31,"['UPL', 'TATAMTRDVR', 'VGUARD', 'MGL', 'CASTROLIND', 'GSFC', 'VEDL', 'DABUR', 'BANKINDIA', 'RAYMOND', 'AJANTPHARM', 'POWERGRID', 'BEL', 'TATAMOTORS']",Results on 31 Jul 2018
2018-08-01,"['EXIDEIND', 'PIDILITIND', 'APOLLOTYRE', 'RELINFRA', 'TATAGLOBAL', 'TORNTPOWER']",Results on 01 Aug 2018
2018-08-02,"['TORNTPHARM', 'IBULHSGFIN', 'ONGC', 'CAPF', 'MARICO', 'RAMCOCEM']",Results on 02 Aug 2018
2018-08-03,"['CGPOWER', 'TITAN', 'SAIL', 'BERGEPAINT']",Results on 03 Aug 2018
2018-08-04,"['SUZLON', 'DIVISLAB', 'WOCKPHARMA']",Results on 04 Aug 2018
2018-08-06,"['ARVIND', 'MFSL', 'BRITANNIA', 'UJJIVAN', 'SYNDIBANK', 'ADANIPOWER', 'ADANIPORTS']",Results on 06 Aug 2018
2018-08-07,"['TVSMOTOR', 'M&M', 'MOTHERSUMI', 'SRF', 'ADANIENT', 'PNB', 'PTC']",Results on 07 Aug 2018
2018-08-08,"['NMDC', 'STAR', 'LUPIN', 'CIPLA', 'BEML', 'INDIANB', 'SIEMENS', 'HCC', 'NATIONALUM', 'BPCL', 'HINDPETRO', 'BALRAMCHIN']",Results on 08 Aug 2018
2018-08-09,"['MANAPPURAM', 'KSCL', 'EICHERMOT', 'PAGEIND', 'JETAIRWAYS', 'MRF', 'ENGINERSIN', 'CUMMINSIND', 'TATACOMM', 'AUROPHARMA', 'BHARATFORG', 'JINDALSTEL']",Results on 09 Aug 2018
2018-08-10,"['SUNTV', 'APOLLOHOSP', 'BOSCHLTD', 'JETAIRWAYS', 'UNIONBANK', 'DLF', 'GLENMARK', 'GAIL', 'SBIN', 'NCC', 'UBL', 'NHPC', 'IGL', 'VOLTAS', 'PCJEWELLER', 'HINDALCO']",Results on 10 Aug 2018
2018-08-11,"['AMARAJABAT', 'MRPL', 'BALKRISIND', 'NBCC', 'IOC', 'COALINDIA', 'DALMIABHA', 'GODFRYPHLP', 'INDIACEM']",Results on 11 Aug 2018
2018-08-13,"['CADILAHC', 'REPCOHOME', 'OFSS', 'GODREJIND', 'JISLJALEQS', 'DHFL', 'OIL', 'TATASTEEL', 'TATACHEM']",Results on 13 Aug 2018
2018-08-14,"['HDIL', 'INFIBEAM', 'SUNPHARMA', 'ALBK', 'GMRINFRA', 'GRASIM', 'FORTIS', 'IDBI']",Results on 14 Aug 2018
2018-08-24,['LICHSGFIN'],Results on 24 Aug 2018
2018-08-27,['JETAIRWAYS'],Results on 27 Aug 2018
2018-09-04,['MUTHOOTFIN'],Results on 04 Sep 2018
2018-09-05,['SREINFRA'],Results on 05 Sep 2018
2018-09-08,['IFCI'],Results on 08 Sep 2018
2018-09-11,"['RELCAPITAL', 'PFC']",Results on 11 Sep 2018
2018-09-14,['RECLTD'],Results on 14 Sep 2018
2018-10-08,['TATAELXSI'],Results on 08 Oct 2018
2018-10-10,['ZEEL'],Results on 10 Oct 2018
2018-10-11,['TCS'],Results on 11 Oct 2018
2018-10-12,"['HINDUNILVR', 'KTKBANK']",Results on 12 Oct 2018
2018-10-15,"['SOUTHBANK', 'IBULHSGFIN', 'TV18BRDCST', 'INDUSINDBK']",Results on 15 Oct 2018
2018-10-16,"['INFY', 'FEDERALBNK', 'HEROMOTOCO']",Results on 16 Oct 2018
2018-10-17,"['HAVELLS', 'NIITTECH', 'MINDTREE', 'ACC', 'DCBBANK', 'RELIANCE']",Results on 17 Oct 2018
2018-10-19,['ULTRACEMCO'],Results on 19 Oct 2018
2018-10-20,['HDFCBANK'],Results on 20 Oct 2018
2018-10-22,"['ASIANPAINT', 'CANFINHOME', 'HINDZINC']",Results on 22 Oct 2018
2018-10-23,"['TVSMOTOR', 'BAJFINANCE', 'AMBUJACEM', 'RBLBANK', 'HCLTECH', 'BAJAJFINSV', 'ICICIPRULI', 'ADANIPORTS']",Results on 23 Oct 2018
2018-10-24,"['INFRATEL', 'KOTAKBANK', 'WIPRO', 'L&TFH', 'BHARATFIN', 'HEXAWARE', 'IDFCBANK', 'KPIT', 'INDIGO', 'M&MFIN', 'JUBLFOOD', 'BAJAJ-AUTO']",Results on 24 Oct 2018
2018-10-25,"['CEATLTD', 'SRTRANSFIN', 'KAJARIACER', 'BHARTIARTL', 'MARUTI', 'BHEL', 'PVR', 'BIOCON', 'VGUARD', 'JSWSTEEL', 'DISHTV', 'ORIENTBANK', 'RAYMOND', 'PEL', 'YESBANK']",Results on 25 Oct 2018
2018-10-26,"['UPL', 'DRREDDY', 'ITC', 'CAPF', 'ICICIBANK', 'BEL']",Results on 26 Oct 2018
2018-10-27,['DIVISLAB'],Results on 27 Oct 2018
2018-10-29,"['GRANULES', 'UNIONBANK', 'JUSTDIAL', 'COLPAL', 'LICHSGFIN', 'TATAPOWER', 'BPCL', 'CENTURYTEX', 'CHENNPETRO']",Results on 29 Oct 2018
2018-10-30,"['PIDILITIND', 'IRB', 'TATAGLOBAL', 'TORNTPOWER', 'IDFC', 'BANKBARODA', 'TECHM', 'DALMIABHA', 'CUMMINSIND', 'CONCOR', 'RAMCOCEM']",Results on 30 Oct 2018
2018-10-31,"['TATAMTRDVR', 'CANBK', 'STAR', 'LUPIN', 'CHOLAFIN', 'CASTROLIND', 'VEDL', 'ADANIENT', 'SYNDIBANK', 'DABUR', 'ADANIPOWER', 'AJANTPHARM', 'MCDOWELL-N', 'LT', 'ESCORTS', 'TATAMOTORS']",Results on 31 Oct 2018
2018-11-01,"['ARVIND', 'SRF', 'DLF', 'HCC', 'MARICO', 'TATACOMM', 'HDFC', 'HINDPETRO', 'BERGEPAINT']",Results on 01 Nov 2018
2018-11-02,"['SUNTV', 'EQUITAS', 'PETRONET', 'OFSS', 'IOC', 'ALBK', 'NTPC', 'GODREJCP', 'GSFC', 'PFC', 'AXISBANK', 'RPOWER', 'PNB', 'SAIL', 'BATAINDIA', 'BHARATFORG', 'TATACHEM', 'HINDALCO']",Results on 02 Nov 2018
2018-11-03,"['CADILAHC', 'TORNTPHARM', 'ONGC', 'RCOM', 'RELINFRA', 'BEML', 'GODFRYPHLP']",Results on 03 Nov 2018
2018-11-05,"['EXIDEIND', 'BOSCHLTD', 'BALKRISIND', 'CIPLA', 'GAIL', 'SBIN', 'POWERGRID', 'IGL']",Results on 05 Nov 2018
2018-11-06,"['MANAPPURAM', 'VOLTAS']",Results on 06 Nov 2018
2018-11-08,['MRF'],Results on 08 Nov 2018
2018-11-09,"['AMARAJABAT', 'INDIANB', 'TITAN', 'INDIACEM']",Results on 09 Nov 2018
2018-11-10,"['WOCKPHARMA', 'NATIONALUM']",Results on 10 Nov 2018
2018-11-12,"['NMDC', 'SHREECEM', 'EICHERMOT', 'JETAIRWAYS', 'GODREJIND', 'BRITANNIA', 'JISLJALEQS', 'COALINDIA', 'BANKINDIA', 'AUROPHARMA', 'OIL']",Results on 12 Nov 2018
2018-11-13,"['CGPOWER', 'SUNPHARMA', 'APOLLOTYRE', 'MGL', 'GLENMARK', 'ENGINERSIN', 'GRASIM', 'NCC', 'ASHOKLEY', 'TATASTEEL', 'PTC', 'JINDALSTEL']",Results on 13 Nov 2018
2018-11-14,"['APOLLOHOSP', 'CESC', 'M&M', 'SUZLON', 'MRPL', 'KSCL', 'MOTHERSUMI', 'INFIBEAM', 'REPCOHOME', 'PAGEIND', 'MFSL', 'NBCC', 'IDEA', 'GMRINFRA', 'UJJIVAN', 'UBL', 'NHPC', 'IDBI', 'PCJEWELLER']",Results on 14 Nov 2018
2018-11-15,['SREINFRA'],Results on 15 Nov 2018
2018-11-16,['SREINFRA'],Results on 16 Nov 2018
2018-11-17,['SIEMENS'],Results on 17 Nov 2018
2018-11-21,['DHFL'],Results on 21 Nov 2018
2018-11-27,['RELCAPITAL'],Results on 27 Nov 2018
2018-12-05,['RECLTD'],Results on 05 Dec 2018
2018-12-06,['MUTHOOTFIN'],Results on 06 Dec 2018
2018-12-07,['IFCI'],Results on 07 Dec 2018
2019-01-08,['TATAELXSI'],Results on 08 Jan 2019
2019-01-09,['INDUSINDBK'],Results on 09 Jan 2019
2019-01-10,['TCS'],Results on 10 Jan 2019
2019-01-11,"['INFY', 'KTKBANK']",Results on 11 Jan 2019
2019-01-15,"['TV18BRDCST', 'ZEEL', 'KPIT']",Results on 15 Jan 2019
2019-01-16,"['MINDTREE', 'DCBBANK']",Results on 16 Jan 2019
2019-01-17,"['FEDERALBNK', 'HINDUNILVR', 'RELIANCE']",Results on 17 Jan 2019
2019-01-18,"['KAJARIACER', 'NIITTECH', 'WIPRO']",Results on 18 Jan 2019
2019-01-19,"['HDFCBANK', 'SOUTHBANK']",Results on 19 Jan 2019
2019-01-21,"['KOTAKBANK', 'UNIONBANK', 'L&TFH', 'JUSTDIAL', 'HINDZINC']",Results on 21 Jan 2019
2019-01-22,"['TVSMOTOR', 'SHREECEM', 'ASIANPAINT', 'HAVELLS', 'ICICIPRULI']",Results on 22 Jan 2019
2019-01-23,"['INFRATEL', 'ITC', 'PIDILITIND', 'RCOM', 'CANFINHOME', 'UJJIVAN', 'RAYMOND', 'MCDOWELL-N', 'INDIGO']",Results on 23 Jan 2019
2019-01-24,"['ULTRACEMCO', 'PVR', 'BIOCON', 'COLPAL', 'RPOWER', 'YESBANK']",Results on 24 Jan 2019
2019-01-25,"['MARUTI', 'GSFC', 'INDIANB', 'DHFL', 'LT', 'M&MFIN']",Results on 25 Jan 2019
2019-01-28,"['CEATLTD', 'CANBK', 'SRTRANSFIN', 'RBLBANK', 'WOCKPHARMA', 'BANKINDIA', 'PEL', 'TATAPOWER', 'ESCORTS', 'CENTURYTEX', 'CHENNPETRO']",Results on 28 Jan 2019
2019-01-29,"['STAR', 'BAJFINANCE', 'MGL', 'BANKBARODA', 'BHARATFIN', 'GODREJCP', 'HCLTECH', 'ORIENTBANK', 'BAJAJFINSV', 'AXISBANK', 'HDFC', 'RAMCOCEM']",Results on 29 Jan 2019
2019-01-30,"['TORNTPHARM', 'CHOLAFIN', 'IOC', 'NTPC', 'CASTROLIND', 'HEXAWARE', 'ICICIBANK', 'LICHSGFIN', 'AJANTPHARM', 'TATACOMM', 'BEL', 'JUBLFOOD', 'BAJAJ-AUTO']",Results on 30 Jan 2019
2019-01-31,"['UPL', 'NMDC', 'IBULHSGFIN', 'BHARTIARTL', 'PETRONET', 'VGUARD', 'VEDL', 'DABUR', 'HEROMOTOCO', 'POWERGRID']",Results on 31 Jan 2019
2019-02-01,"['DRREDDY', 'EQUITAS', 'SBIN', 'TITAN', 'BERGEPAINT']",Results on 01 Feb 2019
2019-02-02,"['DIVISLAB', 'BEML', 'SYNDIBANK', 'GODFRYPHLP', 'JINDALSTEL']",Results on 02 Feb 2019
2019-02-04,"['EXIDEIND', 'SRF', 'IRB', 'IDBI', 'SREINFRA']",Results on 04 Feb 2019
2019-02-05,"['CESC', 'MRPL', 'BHEL', 'APOLLOTYRE', 'DLF', 'RELINFRA', 'TATAGLOBAL', 'TORNTPOWER', 'DISHTV', 'ACC', 'GAIL', 'TECHM', 'PNB', 'MARICO', 'HINDPETRO', 'TATACHEM']",Results on 05 Feb 2019
2019-02-06,"['MANAPPURAM', 'MUTHOOTFIN', 'CGPOWER', 'LUPIN', 'CIPLA', 'ALBK', 'JSWSTEEL', 'IDEA', 'ADANIPOWER', 'CUMMINSIND', 'SIEMENS', 'ADANIPORTS', 'IGL', 'PTC']",Results on 06 Feb 2019
