Date,Quarter,Time,Year
23-07-2013,Q1,08:32,2013
23-10-2013,Q2,13:43,2013
22-01-2014,Q3,13:35,2014
23-04-2014,Q4,12:51,2014
24-07-2014,Q1,15:59,2014
27-10-2014,Q2,15:39,2014
19-01-2015,Q3,13:55,2015
24-04-2015,Q4,14:11,2015
21-07-2015,Q1,12:44,2015
21-10-2015,Q2,11:08,2015
20-01-2016,Q3,15:49,2016
25-04-2016,Q4,15:51,2016
25-07-2016,Q1,13:53,2016
21-10-2016,Q2,13:48,2016
20-01-2017,Q3,18:17,2017
24-04-2017,Q4,16:19,2017
24-07-2017,Q1,15:48,2017
23-10-2017,Q2,19:22,2017
23-01-2018,Q3,16:48,2018
20-04-2018,Q4,16:18,2018
03-08-2018,Q1,10:34,2018
15-10-2018,Q2,17:07,2018
31-01-2019,Q3,17:06,2019
25-04-2019,Q4,05:59,2019
06-08-2019,Q1,17:54,2019
06-11-2019,Q2,17:05,2019
05-02-2020,Q3,18:04,2020
03-07-2020,Q1,20:03,2020
21-08-2020,Q1,16:22,2020
11-11-2020,Q2,15:51,2020
12-02-2021,Q3,16:19,2021
19-05-2021,Q4,20:04,2021
05-08-2021,Q1,20:09,2021
11-11-2021,Q2,16:42,2021
09-02-2022,Q3,16:52,2022
20-05-2022,Q4,20:01,2022
10-08-2022,Q1,14:53,2022
14-11-2022,Q2,17:57,2022
