Date,Quarter,Time,Year
17-10-2017,Q2,14:11,2017
16-01-2018,Q3,13:07,2018
25-04-2018,Q4,16:53,2018
17-07-2018,Q1,14:02,2018
20-10-2018,Q2,13:49,2018
18-01-2019,Q3,18:34,2019
18-04-2019,Q4,17:53,2019
19-07-2019,Q1,15:46,2019
18-10-2019,Q2,17:50,2019
17-01-2020,Q3,17:46,2020
02-05-2020,Q4,17:07,2020
17-07-2020,Q1,17:14,2020
24-10-2020,Q2,15:43,2020
19-01-2021,Q3,18:57,2021
17-04-2021,Q4,17:16,2021
22-07-2021,Q1,18:54,2021
21-10-2021,Q2,19:17,2021
19-01-2022,Q3,15:37,2022
21-04-2022,Q4,17:30,2022
19-07-2022,Q1,18:18,2022
18-10-2022,Q2,18:42,2022
17-01-2023,Q3,17:31,2023
