Date,Quarter,Time,Year
25-10-2016,Q2,13:58,2016
24-01-2017,Q3,14:25,2017
25-04-2017,Q4,18:21,2017
25-07-2017,Q1,17:05,2017
24-10-2017,Q2,17:53,2017
19-01-2018,Q3,13:13,2018
24-04-2018,Q4,14:16,2018
24-07-2018,Q1,18:07,2018
23-10-2018,Q2,17:20,2018
22-01-2019,Q3,19:50,2019
25-04-2019,Q4,06:46,2019
24-07-2019,Q1,18:20,2019
22-10-2019,Q2,20:24,2019
21-01-2020,Q3,13:41,2020
25-04-2020,Q4,14:58,2020
21-07-2020,Q1,14:37,2020
27-10-2020,Q2,18:13,2020
27-01-2021,Q3,17:54,2021
19-04-2021,Q4,18:38,2021
20-07-2021,Q1,18:18,2021
19-10-2021,Q2,18:33,2021
20-10-2021,Q2,14:38,2021
18-01-2022,Q3,17:47,2022
16-04-2022,Q4,17:31,2022
16-07-2022,Q1,18:22,2022
15-10-2022,Q2,17:49,2022
17-01-2023,Q3,20:15,2023
