Date,Quarter,Time,Year
25-04-2013,Q4,16:41,2013
01-08-2013,Q1,16:40,2013
24-10-2013,Q2,16:19,2013
27-01-2014,Q3,16:43,2014
28-04-2014,Q4,16:47,2014
21-07-2014,Q1,16:03,2014
20-10-2014,Q2,16:27,2014
27-01-2015,Q3,16:43,2015
28-04-2015,Q4,16:51,2015
21-07-2015,Q1,17:00,2015
21-10-2015,Q2,16:00,2015
21-01-2016,Q3,16:13,2016
28-04-2016,Q4,17:51,2016
08-08-2016,Q1,16:38,2016
24-10-2016,Q2,17:15,2016
11-02-2017,Q3,16:24,2017
13-05-2017,Q4,14:29,2017
27-07-2017,Q1,16:33,2017
13-11-2017,Q2,09:07,2017
24-01-2018,Q3,12:29,2018
28-04-2018,Q4,14:08,2018
30-07-2018,Q1,15:55,2018
14-11-2018,Q2,18:55,2018
06-02-2019,Q3,17:11,2019
13-05-2019,Q4,19:47,2019
26-07-2019,Q1,16:50,2019
14-11-2019,Q2,19:40,2019
13-02-2020,Q3,19:52,2020
01-07-2020,Q1,00:05,2020
06-08-2020,Q1,16:37,2020
29-10-2020,Q2,18:27,2020
13-02-2021,Q3,16:03,2021
30-06-2021,Q4,20:18,2021
14-08-2021,Q1,19:27,2021
12-11-2021,Q2,15:10,2021
21-01-2022,Q3,19:19,2022
10-05-2022,Q4,19:11,2022
03-08-2022,Q1,18:11,2022
03-11-2022,Q2,21:22,2022
