Date,Quarter,Time,Year
02-05-2013,Q4,09:22,2013
29-07-2013,Q1,13:26,2013
31-10-2013,Q2,16:59,2013
31-01-2014,Q3,16:35,2014
25-04-2014,Q4,16:43,2014
30-07-2014,Q1,08:39,2014
30-10-2014,Q2,16:43,2014
29-01-2015,Q3,16:03,2015
30-04-2015,Q4,16:31,2015
30-07-2015,Q1,12:22,2015
31-10-2015,Q2,14:21,2015
30-01-2016,Q3,13:39,2016
29-04-2016,Q4,16:56,2016
26-07-2016,Q1,19:23,2016
28-10-2016,Q2,13:06,2016
31-01-2017,Q3,13:09,2017
28-04-2017,Q4,15:23,2017
27-07-2017,Q1,16:32,2017
30-10-2017,Q2,15:43,2017
29-01-2018,Q3,16:10,2018
27-04-2018,Q4,17:41,2018
30-07-2018,Q1,19:05,2018
30-10-2018,Q2,16:10,2018
24-05-2019,Q4,17:25,2019
29-05-2019,Q4,15:13,2019
11-02-2022,Q3,14:49,2022
20-05-2022,Q4,14:29,2022
09-08-2022,Q1,17:44,2022
11-11-2022,Q2,14:23,2022
